"BIOLOGICAL SYSTEMS ENGINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","",""
"1","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"1","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cooperative Educ Program","Course Total","","4","***","","","","","","","","","","","","","","","",""
"309
Biol Sys Engr Dsgn Practicum I","001","","46","3.733","63.0","23.9","6.5","2.2","2.2",".",".",".",".",".",".",".","2.2",".",".","."
"349
Quant Technqs-Biological Systm","001","","59","3.026","11.9","30.5","32.2","11.9","6.8","3.4","1.7","1.7",".",".",".",".",".",".",".","."
"356
Sustainabl Residntl Constructn","001","","17","3.588","41.2","41.2","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"365
Measrmt&Instrumntn-Biol Sys","001","","38","2.513","7.9","10.5","26.3","18.4","21.1","15.8",".",".",".",".",".",".",".",".",".","."
"367
Renewable Energy Systems","001","","49","3.347","30.6","32.7","22.4","8.2","4.1","2.0",".",".",".",".",".",".",".",".",".","."
"399","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"441
Rheology of Foods&Biomaterials","001","","9","2.611","11.1",".","33.3","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"461
Bioprocessing Unit Operations","001","","11","3.318","27.3","27.3","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"476
Engr Princpl Off-Road Vehicles","001","","12","2.875",".","8.3","66.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"571
Small Watershed Engineering","001","","13","3.250","7.7","46.2","23.1","15.4",".",".",".",".",".",".",".",".","7.7",".",".","."
"699
Special Problems","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Ag Engr Teaching","Course Total","","3","***","","","","","","","","","","","","","","","",""
"901
Graduate Research Seminar","001","","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","7","",".",".",".",".",".",".",".",".","14.3",".",".","85.7",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","34","",".",".",".",".",".",".",".","8.8","2.9",".",".","88.2",".",".",".","."
"999
Special Problems","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
