"","990
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","9","",".",".",".",".",".",".",".","77.8",".",".",".","22.2",".",".",".","."
"M S & E
636","Dept. Total","624","3.395","34.1","17.8","20.4","4.0","4.6","0.6","0.2","8.7",".","4.3",".","3.5","0.5","0.2","0.8","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","54","3.151","16.7","29.6","31.5","14.8","7.4",".",".",".",".",".",".",".",".",".",".","."
"Junior","","143","3.158","28.7","16.1","38.5","3.5","9.8","2.1","0.7",".",".",".",".",".",".","0.7",".","."
"Senior","","184","3.476","42.4","26.1","21.7","4.9","4.3",".",".",".",".",".",".",".","0.5",".",".","."
"Undergraduates","","383","3.310","33.4","23.0","29.5","5.7","6.8","0.8","0.3",".",".",".",".",".","0.3","0.3",".","."
"Special","","6","3.300","16.7","33.3","16.7","16.7",".",".",".","16.7",".",".",".",".",".",".",".","."
"Graduate","","235","3.680","35.7","8.9","5.5","0.9","1.3","0.4",".","22.6",".","11.5",".","9.4","0.9",".","2.1","0.4"
"","Dept. Total","624","3.395","34.1","17.8","20.4","4.0","4.6","0.6","0.2","8.7",".","4.3",".","3.5","0.5","0.2","0.8","0.2"
