"L&S","","","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"ECON
296","Dept. Total","4432","2.993","22.4","19.0","24.5","16.2","12.2","3.8","1.1","0.2","",".","0.0","",".","0.0","0.2","0.1","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","512","2.854","14.8","19.1","25.4","18.2","17.0","5.3","0.2",".","",".",".","",".",".",".",".",".","."
"Sophomore","","1074","2.901","14.9","20.0","26.3","18.8","14.3","4.5","0.9",".","",".",".","",".",".","0.2",".",".","0.1"
"Junior","","1091","2.984","20.0","20.6","24.5","16.8","12.6","4.3","0.8",".","",".",".","",".",".","0.5",".",".","."
"Senior","","1372","2.962","20.5","18.2","27.0","16.8","11.5","3.4","2.0","0.2","",".","0.1","",".",".","0.1","0.1",".","."
"Undergraduates","","4049","2.939","18.2","19.5","25.9","17.5","13.2","4.2","1.2","0.1","",".","0.0","",".",".","0.2","0.0",".","0.0"
"Special","","58","3.500","48.3","15.5","5.2","8.6","10.3",".",".","1.7","",".",".","",".",".",".","3.4","6.9","."
"Graduate","","324","3.784","71.0","13.6","10.5","1.9",".",".",".","2.2","",".",".","",".","0.3","0.3","0.3",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","4432","2.993","22.4","19.0","24.5","16.2","12.2","3.8","1.1","0.2","",".","0.0","",".","0.0","0.2","0.1","0.1","0.0"
