"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"110
Animal Handling","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"150
Career Orientation An/Poul Sci","001","","20","3.605","35.0","50.0","5.0","5.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"200
Biol&Apprec-Companion Anmls","001","","126","2.903","26.2","10.3","23.0","16.7","12.7","8.7","0.8","0.8",".",".",".",".","0.8",".",".","."
"221
Adv Meat Animal Eval Lab","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"250
Horse Science & Management","001","","24","3.326","37.5","33.3","4.2","12.5","4.2",".","4.2","4.2",".",".",".",".",".",".",".","."
"299","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","029","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"305
Intro-Meat Sci & Technology","001","","43","3.047","30.2","9.3","25.6","14.0","18.6","2.3",".",".",".",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","55","3.300","23.6","40.0","21.8","9.1","3.6",".","1.8",".",".",".",".",".",".",".",".","."
"313","001","","12","3.818","83.3",".",".",".","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"313","002","","9","3.389","66.7",".",".","11.1","22.2",".",".",".",".",".",".",".",".",".",".","."
"Animal Feeds&Diet Formulatn","Course Total","","21","3.625","76.2",".",".","4.8","14.3",".",".","4.8",".",".",".",".",".",".",".","."
"320
Animal Health & Disease Mgt","001","","74","3.197","28.4","21.6","24.3","10.8","6.8","4.1",".",".",".",".",".",".","1.4",".","2.7","."
"321
Food Laws and Regulations","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"361
Intro to Animal & Vet Genetics","001","","41","3.195","29.3","19.5","26.8","14.6","7.3","2.4",".",".",".",".",".",".",".",".",".","."
"362
Veterinary Genetics","001","","17","3.029","41.2","5.9","17.6",".","29.4","5.9",".",".",".",".",".",".",".",".",".","."
"363
Principles of Animal Breeding","001","","24","3.500","62.5","4.2","20.8","4.2","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"375","002","","13","3.750","76.9",".","7.7",".","7.7",".",".","7.7",".",".",".",".",".",".",".","."
"375","004","","20","3.075","20.0","30.0","20.0","15.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"375","007","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","39","3.237","48.7","15.4","15.4","7.7","7.7","2.6",".","2.6",".",".",".",".",".",".",".","."
"399","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"430
Sheep Production","001","","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"468
Envir Impact-Livestock Operatn","001","","10","3.400","40.0","40.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"520
Ornithology","001","","24","2.696","16.7","4.2","37.5","4.2","25.0","4.2","4.2","4.2",".",".",".",".",".",".",".","."
"521","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"521","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"521","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"521","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Birds of Southern Wisconsin","Course Total","","13","3.538","61.5","15.4","15.4",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","","Page 35 of 409"
