"EGR","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"","349
006","13","3.115",".","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"","007
349","19","3.053","5.3","15.8","63.2","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","349
009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Engineering Design Projects","Course Total","82","3.293","23.2","28.0","35.4","11.0","2.4",".",".",".",".",".",".",".",".",".",".","."
"","351
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","351
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Interdis Exper Dsgn Projects I","Course Total","3","***","","","","","","","","","","","","","","","",""
"","352
001","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","352
003","19","3.474","31.6","31.6","36.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Expr Dsgn Projects II","Course Total","30","3.600","43.3","33.3","23.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
001","56","2.676","10.7","16.1","17.9","21.4","23.2","5.4","1.8","3.6",".",".",".",".",".",".",".","."
"","361
002","54","2.991","7.4","27.8","25.9","33.3","5.6",".",".",".",".",".",".",".",".",".",".","."
"","361
003","63","2.847","12.7","19.0","20.6","23.8","20.6",".","1.6",".",".",".",".",".",".",".","1.6","."
"Thermodynamics","Course Total","173","2.838","10.4","20.8","21.4","26.0","16.8","1.7","1.2","1.2",".",".",".",".",".",".","0.6","."
"","363
001","43","3.774","60.5","30.2","7.0",".",".",".",".",".",".",".",".",".",".","2.3",".","."
"","002
363","66","3.856","74.2","22.7","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","363
003","32","2.844","15.6","28.1","31.3","3.1","6.3","9.4","6.3",".",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","141","3.600","56.7","26.2","10.6","0.7","1.4","2.1","1.4",".",".",".",".",".",".","0.7",".","."
"","364
001","65","3.162","27.7","21.5","29.2","7.7","9.2","4.6",".",".",".",".",".",".",".",".",".","."
"","364
002","51","2.745","13.7","13.7","29.4","17.6","19.6",".","5.9",".",".",".",".",".",".",".",".","."
"Elementary Heat Transfer","Course Total","116","2.978","21.6","18.1","29.3","12.1","13.8","2.6","2.6",".",".",".",".",".",".",".",".","."
"Engr Measure & Instrumentation","368
001","91","3.192","9.9","38.5","38.5","11.0","1.1",".","1.1",".",".",".",".",".",".",".",".","."
"Energy Systems Laboratory","370
001","84","3.077","16.7","20.2","35.7","16.7","10.7",".",".",".",".",".",".",".",".",".",".","."
"Mechanical Dissection","379
001","10","3.650","60.0","30.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","418
001","71","3.711","52.1","38.0","9.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418
002","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Design with Polymers","Course Total","82","3.713","52.4","37.8","9.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rheology of Foods&Biomaterials","441
001","8","3.250","12.5","25.0","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design Problems-Elasticity","444
001","31","3.694","48.4","41.9","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Automatic Controls","446
003","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","447
001","24","3.000","25.0","12.5","29.2","12.5","16.7","4.2",".",".",".",".",".",".",".",".",".","."
"","447
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Comptr Cntrl-Machns&Process","Course Total","26","3.058","26.9","15.4","26.9","11.5","15.4","3.8",".",".",".",".",".",".",".",".",".","."
"Thermal Systems Modeling","461
001","26","3.180","11.5","42.3","15.4","23.1","3.8",".",".","3.8",".",".",".",".",".",".",".","."
"Welding Metallurgy","001
462","12","3.292","33.3","25.0","25.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Air Pollutn-Measure&Control","466
001","44","3.625","50.0","27.3","20.5","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Princpl Off-Road Vehicles","476
001","28","3.089","21.4","3.6","53.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","489
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","Page 134 of 409",""
