"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"564","002","","6","2.917","16.7","33.3","16.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".","."
"564","003","","6","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"564","004","","6","2.667","16.7","16.7","33.3","16.7",".",".","16.7",".",".",".",".",".",".",".",".","."
"564","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"564","006","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","","31","3.177","29.0","19.4","35.5","9.7",".","3.2","3.2",".",".",".",".",".",".",".",".","."
"565
Biophysical Chemistry","001","","48","2.958","20.8","16.7","35.4","8.3","12.5","2.1","4.2",".",".",".",".",".",".",".",".","."
"605
Spectrochemical Measuremts","001","","34","3.547","50.0","8.8","32.4",".","2.9",".",".",".",".",".",".",".",".",".","5.9","."
"607
Laboratory Safety","001","","64","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"613
Chemical Crystallography","001","","18","3.618","50.0","16.7","27.8",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"627
Protein Characterization","001","","18","3.615","55.6","16.7","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"628
Chem Instrumtn:Dsgn&Control","001","","26","3.370","34.6","26.9","11.5",".","15.4",".",".",".",".",".",".",".","7.7","3.8",".","."
"636
Topics-Chem Instrumentatn: NMR","001","","17","3.471","35.3","47.1","11.8",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"638
Topic-Instrmtn:Mass Spectrmtry","001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"664
Phys Chem of Macromolecules","001","","17","3.579","35.3","23.5","23.5",".",".",".",".","11.8",".",".",".",".",".",".","5.9","."
"665
Biophysical Chemistry","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"682","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"691
Senior Thesis","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"692","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","Page 176 of 409",""
