"INTERNATIONAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","",""
"","101
002","67","2.862","13.4","14.9","28.4","17.9","20.9",".","1.5","1.5",".",".",".",".","1.5",".",".","."
"","101
007","16","3.375","18.8","43.8","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to International Studies","Course Total","83","2.963","14.5","20.5","28.9","15.7","16.9",".","1.2","1.2",".",".",".",".","1.2",".",".","."
"WIScholars:Wi Intntl Schlr Smr","212
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
001","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
002","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
005","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
007","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
008","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
010","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Internl Learning Community Smr","Course Total","93","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","320
001","29","3.967","96.6",".","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
002","21","3.810","90.5",".",".",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Issues-Intl St","Course Total","50","3.927","94.0",".","2.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Globalization and Education","335
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Global Security","401
001","16","3.469","50.0","12.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"Politics&Policy in Globl Econ","402
001","68","3.031","11.8","26.5","22.1","23.5","10.3",".",".","5.9",".",".",".",".",".",".",".","."
"Topics in Global Security","601
001","11","3.700","45.5","36.4","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Politics&Policy in Global Econ","602
001","11","3.364","36.4","36.4","18.2",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"Topics:Culture-Age of Globlztn","603
001","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-International Studies","620
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Global Studies Seminar","720
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"INTL ST
504","Dept. Total","389","3.338","34.4","12.1","11.8","8.2","5.9","0.3","0.3","1.3",".","25.2",".",".","0.5",".",".","."
