"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","48","3.957","91.7","4.2","2.1",".",".",".",".",".",".",".",".",".","2.1",".",".","."
"","160
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
160","15","3.667","73.3","13.3","6.7",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"","003
160","14","3.269","42.9","14.3","7.1","7.1","21.4",".",".","7.1",".",".",".",".",".",".",".","."
"Architectural Graphics","Course Total","37","3.583","64.9","13.5","5.4","2.7","8.1","2.7",".","2.7",".",".",".",".",".",".",".","."
"","170
002","21","2.833","23.8","9.5","23.8","14.3","23.8",".","4.8",".",".",".",".",".",".",".",".","."
"","170
003","23","3.065","30.4","17.4","17.4","21.7","8.7",".","4.3",".",".",".",".",".",".",".",".","."
"","170
004","15","2.367","20.0","6.7","20.0","13.3","20.0",".","20.0",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","59","2.805","25.4","11.9","20.3","16.9","16.9",".","8.5",".",".",".",".",".",".",".",".","."
"Intro Engineering Graphics","231
001","188","3.163","29.8","21.3","18.6","17.6","10.1","1.1","1.1",".",".",".",".",".",".",".",".","0.5"
"Dynamics","240
001","107","2.755","8.4","20.6","25.2","18.7","20.6","3.7","1.9",".",".",".",".",".","0.9",".",".","."
"Undergrad Mech Engr Project","291
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","050
299","28","3.992","92.9","3.6",".",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"Independent Study","Course Total","29","3.992","93.1","3.4",".",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"","306
001","60","2.839","15.0","16.7","26.7","15.0","18.3","6.7",".",".",".",".",".",".","1.7",".",".","."
"","002
306","77","3.000","14.3","28.6","22.1","23.4","7.8","2.6","1.3",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","137","2.930","14.6","23.4","24.1","19.7","12.4","4.4","0.7",".",".",".",".",".","0.7",".",".","."
"","307
001","8","2.938",".",".","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","8","3.125","12.5","12.5","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","8","3.125","25.0","25.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","10","3.050","20.0","20.0","10.0","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"","307
006","10","3.150","30.0","20.0","20.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","307
007","9","3.000","11.1","33.3","11.1","33.3","11.1",".",".",".",".",".",".",".",".",".",".","."
"","307
008","8","2.938","12.5","12.5","37.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"","307
009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
010","10","3.100","20.0","20.0","40.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","307
011","7","3.071","28.6","42.9","14.3",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","012
307","7","3.143","28.6","28.6","28.6",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"","013
307","11","3.273","18.2","36.4","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","307
014","6","2.750",".","16.7","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","105","3.033","17.1","21.9","31.4","19.0","7.6","1.0","1.9",".",".",".",".",".",".",".",".","."
"","313
001","57","3.079","14.0","24.6","38.6","12.3","8.8","1.8",".",".",".",".",".",".",".",".",".","."
"","313
002","66","3.295","25.8","27.3","33.3","7.6","6.1",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","123","3.195","20.3","26.0","35.8","9.8","7.3","0.8",".",".",".",".",".",".",".",".",".","."
"","314
001","48","2.896","10.4","20.8","27.1","20.8","20.8",".",".",".",".",".",".",".",".",".",".","."
"","314
002","34","2.985","26.5","17.6","20.6","8.8","20.6","5.9",".",".",".",".",".",".",".",".",".","."
"Manufacturing Fundamentals","Course Total","82","2.933","17.1","19.5","24.4","15.9","20.7","2.4",".",".",".",".",".",".",".",".",".","."
"Geom Modeling-Engr Applcatn","331
001","114","2.965","8.8","21.9","41.2","16.7","7.9","3.5",".",".",".",".",".",".",".",".",".","."
"Intro to Dynamic Systems","340
001","115","3.043","14.8","27.8","27.0","19.1","7.8","3.5",".",".",".",".",".",".",".",".",".","."
"Design of Machine Elements","342
001","70","2.814","11.4","14.3","38.6","14.3","14.3","5.7","1.4",".",".",".",".",".",".",".",".","."
"","349
002","18","3.500","44.4","33.3","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","349
003","12","3.792","75.0","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","349
004","16","3.094",".","31.3","56.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","Page 133 of 409",""
