"","999
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
089","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
095","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","9","4.000","11.1",".",".",".",".",".",".","88.9",".",".",".",".",".",".",".","."
"ENGLISH
350","Dept. Total","4615","3.560","42.4","22.5","12.3","3.3","1.8","0.5","0.7","0.9","0.2","12.4","0.5","2.0","0.5","0.0","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","795","3.512","32.7","22.6","12.3","3.6","2.3","0.5","0.3",".",".","23.0","2.4",".",".",".",".","0.3"
"Sophomore","","1203","3.576","44.6","26.6","12.6","3.4","1.2","0.4","0.7",".",".","10.0","0.3",".","0.2","0.1",".","."
"Junior","","891","3.470","41.6","28.4","15.6","3.8","2.6","0.9","1.6","0.1",".","5.1",".",".","0.3",".",".","."
"Senior","","1164","3.580","50.0","21.5","13.8","4.0","2.1","0.3","0.6","0.4",".","6.3",".","0.1","0.9",".","0.1","."
"Undergraduates","","4053","3.541","43.2","24.7","13.6","3.7","1.9","0.5","0.8","0.1",".","10.4","0.6","0.0","0.4","0.0","0.0","0.0"
"Special","","131","3.478","27.5","9.2","10.7","1.5","1.5",".","1.5","6.1",".","34.4","1.5",".","3.1","0.8","2.3","."
"Graduate","","431","3.924","40.1","5.3","0.9",".",".",".",".","6.0","1.9","24.1",".","21.1","0.5",".",".","."
"","Dept. Total","4615","3.560","42.4","22.5","12.3","3.3","1.8","0.5","0.7","0.9","0.2","12.4","0.5","2.0","0.5","0.0","0.1","0.0"
