"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Animal Hlth Hist Restraint","570
001","76","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Sm Animal Emrgncy&Crit Care I","576
001","33","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Vet Diag&Therapeut Techniq","625
001","84","4.000","98.8",".",".",".",".",".",".","1.2",".",".",".",".",".",".",".","."
"Veterinary Nutrition","629
001","76","3.618","42.1","42.1","14.5",".","1.3",".",".",".",".",".",".",".",".",".",".","."
"Companion Animal&Equine Med II","633
001","84","3.393","32.1","23.8","38.1","2.4","3.6",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Neurology","667
001","17","4.000","23.5",".",".",".",".",".",".","76.5",".",".",".",".",".",".",".","."
"Clin Dermatology Rotation","668
001","25","4.000","56.0",".",".",".",".",".",".","44.0",".",".",".",".",".",".",".","."
"","669
001","15","3.400","26.7",".",".",".",".","6.7",".","66.7",".",".",".",".",".",".",".","."
"","669
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Anml Cardiolgy Rotatn","Course Total","16","3.400","25.0",".",".",".",".","6.3",".","68.8",".",".",".",".",".",".",".","."
"","670
001","33","4.000","39.4",".",".",".",".",".",".","60.6",".",".",".",".",".",".",".","."
"","670
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","38","4.000","39.5",".",".",".",".",".",".","60.5",".",".",".",".",".",".",".","."
"Sr Rotation:Theriogenology","001
672","9","4.000","22.2",".",".",".",".",".",".","77.8",".",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","42","4.000","45.2",".",".",".",".",".",".","52.4",".",".",".",".",".",".","2.4","."
"","675
001","30","4.000","73.3",".",".",".",".",".",".","26.7",".",".",".",".",".",".",".","."
"","675
002","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
003","62","4.000","46.8",".",".",".",".",".",".","53.2",".",".",".",".",".",".",".","."
"","675
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
006","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","007
675","11","4.000","27.3",".",".",".",".",".",".","72.7",".",".",".",".",".",".",".","."
"","675
008","30","4.000","6.7",".",".",".",".",".",".","93.3",".",".",".",".",".",".",".","."
"","675
009","75","",".",".",".",".",".",".",".","86.7",".",".",".",".","13.3",".",".","."
"","675
010","84","3.446","44.0","15.5","29.8","7.1","3.6",".",".",".",".",".",".",".",".",".",".","."
"","675
011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
015","78","",".",".",".",".",".",".",".","56.4",".",".",".",".","43.6",".",".","."
"","675
021","84","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
023","84","4.000","3.6",".",".",".",".",".",".","96.4",".",".",".",".",".",".",".","."
"Special Topics","Course Total","569","3.733","18.3","2.3","4.4","1.1","0.5",".",".","65.7",".",".",".",".","7.7",".",".","."
"","678
001","34","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","678
002","12","4.000","41.7",".",".",".",".",".",".","58.3",".",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","46","4.000","47.8",".",".",".",".",".",".","52.2",".",".",".",".",".",".",".","."
"Small Animal Oncology","679
001","13","3.500","38.5",".",".",".",".","7.7",".","53.8",".",".",".",".",".",".",".","."
"","699
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","10","4.000","30.0",".",".",".",".",".",".","70.0",".",".",".",".",".",".",".","."
"","699
028","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
053","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","24","3.971","66.7","4.2",".",".",".",".",".","29.2",".",".",".",".",".",".",".","."
