"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"676","046","","20","3.825","70.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"676","047","","16","3.688","81.3","6.3",".","6.3",".","6.3",".",".",".",".",".",".",".",".",".","."
"Topics-Mass Communication","Course Total","","129","3.766","79.8","14.7","3.9","0.8",".","0.8",".",".",".",".",".",".",".",".",".","."
"682","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"692
Senior Thesis","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"697","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"697","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"697","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","051","","6","",".",".",".",".",".",".",".",".",".","83.3",".",".",".",".","16.7","."
"697","076","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"697","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","31","",".",".",".",".",".",".",".",".",".","96.8",".",".",".",".","3.2","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","8","4.000","75.0",".",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","7","3.036",".","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".","14.3","."
"Directed Study","Course Total","","30","3.731","66.7","13.3","6.7","3.3",".",".",".",".",".",".",".",".","6.7",".","3.3","."
"829
Political Communication","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"870
Mass Com&Societl Institutns","001","","8","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"880","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"880","029","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"880","030","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"880","031","","12","3.909","75.0","16.7",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"880","032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Mass Communication","Course Total","","38","3.959","89.5","7.9",".",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"901
Colloquium:Mass Communicatn","001","","9","",".",".",".",".",".",".",".",".",".","66.7","33.3",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","Page 242 of 409",""
