"","990
078","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
079","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
081","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","52","",".",".",".",".",".",".","",".","78.8",".",".",".","21.2",".",".",".","."
"PATH-BIO
703","Dept. Total","617","3.626","40.8","13.3","10.7","1.5","1.0","0.2","",".","30.0",".",".",".","1.8","0.3",".","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Junior","","5","2.929","40.0",".","20.0",".","40.0",".","",".",".",".",".",".",".",".",".",".","."
"Senior","","14","3.305","50.0","7.1","28.6",".","7.1","7.1","",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","21","3.263","52.4","4.8","23.8",".","14.3","4.8","",".",".",".",".",".",".",".",".",".","."
"Special","","10","",".",".",".",".",".",".","",".","80.0",".",".",".","10.0",".",".","10.0","."
"Graduate","","76","3.711","23.7","9.2","1.3","1.3",".",".","",".","52.6",".",".",".","11.8",".",".",".","."
"Prof Yr 1","","88","3.596","50.0","13.6","20.5","2.3","2.3",".","",".","11.4",".",".",".",".",".",".",".","."
"Prof Yr 2","","250","3.618","42.0","14.8","14.4","1.6","0.4",".","",".","26.0",".",".",".","0.4","0.4",".",".","."
"Prof Yr 3","","88","3.737","53.4","26.1","6.8","2.3",".",".","",".","9.1",".",".",".",".","1.1",".","1.1","."
"Prof Yr 4","","84","3.949","32.1","2.4",".",".",".",".","",".","64.3",".",".",".",".",".",".","1.2","."
"Professionals","","510","3.642","43.7","14.5","11.8","1.6","0.6",".","",".","26.9",".",".",".","0.2","0.4",".","0.4","."
"","Dept. Total","617","3.626","40.8","13.3","10.7","1.5","1.0","0.2","",".","30.0",".",".",".","1.8","0.3",".","0.5","."
