"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Process Synthesis","250
001","","50","2.720","18.0","10.0","24.0","26.0","6.0","16.0",".",".",".",".",".",".",".",".",".","."
"Intro to Chem Process Modeling","255
001","","54","3.093","24.1","16.7","33.3","9.3","14.8","1.9",".",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","310
001","","50","2.990","24.0","12.0","32.0","10.0","18.0","4.0",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311
001","","53","2.991","22.6","11.3","34.0","9.4","20.8","1.9",".",".",".",".",".",".",".",".",".","."
"","320
001","","49","3.276","38.8","18.4","14.3","20.4","6.1","2.0",".",".",".",".",".",".",".",".",".","."
"","320
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Transport Phenomena","Course Total","","51","3.304","41.2","17.6","13.7","19.6","5.9","2.0",".",".",".",".",".",".",".",".",".","."
"","324
001","","15","3.267","26.7","20.0","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","324
002","","16","3.250","25.0","25.0","31.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","324
003","","16","3.219","18.8","25.0","37.5","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","Course Total","","47","3.245","23.4","23.4","34.0","17.0","2.1",".",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326
001","","51","2.824","21.6","15.7","17.6","23.5","9.8","9.8","2.0",".",".",".",".",".",".",".",".","."
"Mass Transfer Operations","426
001","","47","2.989","19.1","8.5","36.2","23.4","12.8",".",".",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430
001","","41","3.012","24.4","14.6","22.0","26.8","7.3","4.9",".",".",".",".",".",".",".",".",".","."
"Chemical Engineering Matl","440
001","","49","3.398","38.8","18.4","30.6","8.2","4.1",".",".",".",".",".",".",".",".",".",".","."
"Process Design","450
001","","56","3.063","23.2","19.6","21.4","17.9","17.9",".",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470
001","","59","2.966","10.2","32.2","22.0","18.6","15.3",".","1.7",".",".",".",".",".",".",".",".","."
"","489
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Stem Cell Bioengineering","520
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Heterogeneous Catalysis","535
001","","22","3.738","50.0","40.9","4.5",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Biochemical Engineering","560
001","","13","3.577","53.8","15.4","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","562
001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
562","","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","562
005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","Course Total","","37","3.877","83.8","10.8","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Instrmntl Anal-Chem Engr","001
575","","11","3.091","45.5","18.2",".","18.2",".","18.2",".",".",".",".",".",".",".",".",".","."
"","599
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
012","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
021","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Problems","Course Total","","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
