"BOTANY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"100
Survey of Botany","001","","103","3.272","36.9","15.5","26.2","7.8","13.6",".",".",".",".",".",".",".",".",".",".","."
"123
Plants, Parasites, & People","001","","78","3.474","41.0","28.2","20.5","5.1","5.1",".",".",".",".",".",".",".",".",".",".","."
"130
General Botany","001","","150","2.876","24.0","10.0","31.3","6.7","18.0","8.0","1.3",".",".",".",".",".","0.7",".",".","."
"151
Introductory Biology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"152","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"152","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"152","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Biology","Course Total","","9","2.444",".","11.1","33.3","11.1","33.3","11.1",".",".",".",".",".",".",".",".",".","."
"260
Introductory Ecology","001","","76","3.138","36.8","9.2","23.7","15.8","11.8",".","2.6",".",".",".",".",".",".",".",".","."
"305
Principles-Plant Structure","001","","23","3.435","52.2","13.0","13.0","13.0","8.7",".",".",".",".",".",".",".",".",".",".","."
"332
Fungi","001","","13","3.038","23.1","23.1","30.8",".","15.4","7.7",".",".",".",".",".",".",".",".",".","."
"410
Evolutionary Biology","001","","17","2.735","5.9","17.6","29.4","11.8","35.3",".",".",".",".",".",".",".",".",".",".","."
"422
Plant Geography","001","","42","3.560","52.4","21.4","16.7","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"460
General Ecology","001","","47","3.250","23.4","25.5","29.8","14.9","4.3",".",".",".",".",".",".",".",".",".","2.1","."
"466
General Genetics","001","","28","2.769","17.9","17.9","14.3","17.9","10.7","14.3",".","3.6",".",".",".",".","3.6",".",".","."
"500
Plant Physiology","001","","43","3.435","46.5","11.6","25.6",".","4.7",".","2.3","9.3",".",".",".",".",".",".",".","."
"505
Plant-Microbe Interactions","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"555
Plant Genomics&Bioinformatics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"561
Introductory Cytogenetics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"563
Phylogenetic Anal-Molec Data","001","","14","3.750","57.1","14.3","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"575
Special Topics","001","","13","3.647","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"621
Plant Biochemistry","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"651
Conservation Biology","001","","14","3.591","42.9","7.1","28.6",".",".",".",".",".",".",".",".",".",".","21.4",".","."
"691
Senior Thesis","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"698
Directed Study","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","Page 172 of 409",""
