"ART DEPARTMENT","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"","448","001","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","448","004","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448","005","18","3.745","77.8","5.6","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","448","006","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","55","3.849","87.3","1.8","9.1",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"Intmed Paint: New Figuration I","452","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Neon: Light as Sculpture","454","001","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Visual Comm & Research","458","001","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Papermaking;Hist,Elem&Techs","466","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","469","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","469","002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","469","003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","","Course Total","21","3.824","85.7",".","9.5",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Photography","476","001","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Relief Printmaking","506","001","7","3.583","42.9","14.3","28.6",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Colloquium in Art","508","001","152","3.839","83.6","2.6","9.2",".","2.6",".",".","2.0",".",".",".",".",".",".",".","."
"Advanced Drawing I","512","001","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Sculpture I","514","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Lithography","516","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Painting I","522","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ceramics I","524","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Etching/Intaglio","526","001","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","532","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","532","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Life Drawing I","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Advanced Wood Working","534","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Serigraphy","536","001","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Watercolor I","542","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Art Metal I","544","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Typography&Graphic Dsgn","546","001","14","3.536","71.4","7.1","7.1",".","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"","548","001","10","2.935",".","40.0","20.0",".","30.0",".",".","10.0",".",".",".",".",".",".",".","."
"","548","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","548","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics: Advanced Level","","Course Total","15","3.313","33.3","26.7","13.3",".","20.0",".",".","6.7",".",".",".",".",".",".",".","."
"Adv Painting:New Figuration II","552","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Glassworking","554","001","7","3.429","71.4",".","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"Adv Graphic Design Technlgy","556","001","12","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Set Design II","572","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Photography","576","001","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Critiq-Visual Arts","608","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Drawing II","612","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","","Page 72 of 409"
