"NUCLEAR ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"231
Survey-Nuclear Engineering","001","","28","",".",".",".",".",".",".",".",".",".","96.4","3.6",".",".",".",".","."
"405
Nuclear Reactor Theory","001","","37","3.081","16.2","16.2","56.8",".","8.1",".","2.7",".",".",".",".",".",".",".",".","."
"408
Ionizing Radiation","001","","38","3.351","44.7","18.4","15.8","7.9","7.9",".","2.6",".",".",".",".",".","2.6",".",".","."
"412
Nuclear Reactor Design","001","","19","3.500","26.3","47.4","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"427
Nuclear Instrumentation Lab","001","","21","3.262","23.8","19.0","47.6","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"428","001","","8","3.438","50.0","12.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"428","002","","12","3.091","41.7",".","25.0","16.7",".",".","8.3",".",".",".",".",".","8.3",".",".","."
"Nuclear Reactor Laboratory","Course Total","","20","3.237","45.0","5.0","25.0","10.0","5.0",".","5.0",".",".",".",".",".","5.0",".",".","."
"489
Honors in Research","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"506
Monte Carlo Radiatn Transport","001","","29","3.558","41.4","17.2","31.0",".",".",".",".",".",".",".",".",".","10.3",".",".","."
"525
Introduction to Plasmas","001","","14","3.692","57.1","14.3","21.4",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"526
Lab Course in Plasmas","001","","10","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"527
Plasma Confinement&Heating","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"548
Engineering Analysis II","001","","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"569
Health Physics","001","","6","3.524","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"571
Econ&Envr Aspect-Nuc Energy","001","","32","3.266","18.8","40.6","21.9","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"602
Special Topics-Reactor Engr","001","","9","3.556","55.6","22.2","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","8","3.833","62.5",".","12.5",".",".",".",".",".",".",".",".","12.5","12.5",".",".","."
"724
Waves&Instabilities-Plasmas","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"726
Plasma Magnetohydrodynamics","001","","7","3.300","14.3","14.3","42.9",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"790","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","15","",".",".",".",".",".",".",".","73.3",".",".",".","26.7",".",".",".","."
"890","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","Page 141 of 409",""
