"LAW","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","","",""
"Bus Orgnztions II:Publ Corp","741","001","","67","1.470","16.4",".","22.4",".","6.0",".",".","1.5",".",".",".",".",".",".",".","."
"Taxation I","742","002","","65","1.192","10.8",".","15.4",".","3.1",".",".","18.5",".",".",".",".",".",".",".","1.5"
"","743","001","","14","1.500","7.1",".","28.6",".","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"","743","002","","13","1.077","15.4",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743","003","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Negotiations","","Course Total","","41","1.296","7.3",".","14.6",".","4.9","2.4",".","34.1",".",".",".",".",".",".",".","."
"Administrative Law","744","001","","79","1.542","15.2",".","24.1",".","3.8",".",".","8.9",".",".",".",".",".",".",".","."
"Trademarks","749","001","","24","1.241",".",".","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Patent Law","751","001","","14","1.417","21.4",".",".",".","14.3","7.1",".","14.3",".",".",".",".",".",".",".","."
"Equal Employment Law","765","001","","28","1.200","3.6",".","32.1",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Consumer Health Advocacy","768","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","771","001","","89","1.476","22.5",".","9.0",".","9.0","1.1",".","7.9",".",".",".",".",".",".",".","."
"","771","002","","28","1.040","7.1",".","14.3",".","10.7",".",".","10.7",".",".",".",".",".",".",".","."
"Select Topics-Estate Planning","","Course Total","","117","1.374","18.8",".","10.3",".","9.4","0.9",".","8.5",".",".",".",".",".",".",".","."
"Use of Trusts-Estate Planning","772","001","","11","1.818","18.2",".","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law and the Elderly","773","001","","11","0.636","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evidence","801","001","","60","1.085","11.7",".","8.3",".","6.7",".",".","21.7",".",".",".",".",".",".",".","."
"","802","001","","84","1.056","8.3",".","15.5",".","4.8",".",".","15.5",".",".",".",".",".",".",".","."
"","802","002","","34","1.567","11.8",".","26.5",".","5.9",".",".","11.8",".",".",".",".",".",".",".","."
"Civil Procedure II","","Course Total","","118","1.208","9.3",".","18.6",".","5.1",".",".","14.4",".",".",".",".",".",".",".","."
"","808","001","","14","1.214","14.3",".","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Legal Writing","","Course Total","","19","1.195","10.5",".","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","815","001","","26","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815","002","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","815","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","815","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","815","007","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","815","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Appellate Advocacy II","","Course Total","","64","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","817","001","","93","0.856","9.7",".","14.0",".","1.1",".",".","3.2",".",".",".",".",".",".",".","."
"","817","002","","36","0.909","8.3",".","16.7",".",".",".",".","5.6",".",".",".",".",".",".",".","2.8"
"Business Organizations I","","Course Total","","129","0.870","9.3",".","14.7",".","0.8",".",".","3.9",".",".",".",".",".",".",".","0.8"
"Bankruptcy Law","821","001","","56","1.235","16.1",".","12.5",".","5.4",".",".","7.1",".",".",".",".",".",".",".","1.8"
"Family Law I","822","001","","15","1.571","26.7",".","13.3",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Family Law II","823","001","","34","1.152","11.8",".","17.6",".","5.9",".",".","2.9",".",".",".",".",".",".",".","."
"International Law","827","001","","44","1.023","9.1",".","13.6",".","11.4",".",".","2.3",".",".",".",".",".",".",".","."
"International Transactions","828","001","","34","1.333","14.7",".","23.5",".",".",".","2.9","2.9",".",".",".",".",".",".",".","."
"Regulated Industries","837","001","","9","0.429",".",".","11.1",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"Real Estate Transactions II","838","001","","15","1.385","20.0",".","13.3",".",".",".",".","13.3",".",".",".",".",".",".",".","."
