"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"102","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","003","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"103
Elementary Class Piano","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"104","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"104","002","","6","3.333","33.3","33.3","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Class Piano","Course Total","","12","3.583","50.0","33.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"12
Fundamentals: Double Reeds","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"143
Intro to Performance: Voice","001","","13","3.846","92.3",".",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"144","101","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"144","103","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Vocal Instr: Non-Voice Majors","Course Total","","10","3.912","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"18
Fundamentals-High Brass","001","","9","3.833","88.9",".",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"200","252","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","253","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"200","254","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","255","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"200","256","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","257","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intermed Piano-Non-Majors","Course Total","","13","3.750","69.2","15.4",".",".","7.7",".",".","7.7",".",".",".",".",".",".",".","."
"201","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"201","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"201","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"201","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","11","3.596","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"202
Elem/Intermed Harpsichord","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"203
Elem/Intmed Organ","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"205","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"205","045","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"205","061","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"205","062","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","20","3.956","90.0",".","5.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"207
Elem/Intmed Flute","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"209
Elem/Intmed Oboe","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"211
Elem/Intmed Clarinet","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"213
Element/Intermed Saxophone","050","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"215
Elem/Intmed Bassoon","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"217
Elem/Intmed Horn","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"219
Elem/Intmed Trumpet","063","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"221
Elem/Intmed Trombone","089","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"225
Elem/Intmed Tuba","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"227
Elem/Intmed Percussion","033","","6","3.750","33.3","50.0",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"231","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","Page 271 of 409",""
