"AGRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"132
AGRONOMY","","","","","","","","","","","","","","","","","","","",""
"299","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"300
Cropping Systems","001","","28","3.315","25.0","39.3","17.9",".","14.3",".",".","3.6",".",".",".",".",".",".",".","."
"326
Plant Nutrition Management","001","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"338
Plant Breeding&Biotechnolgy","001","","33","2.864","18.2","9.1","42.4","12.1","9.1","6.1","3.0",".",".",".",".",".",".",".",".","."
"350
World Hunger & Malnutrition","001","","31","3.677","58.1","25.8","12.9",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"375","002","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"375","003","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","15","3.913","66.7","26.7",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"377
Cropping Systems-Tropics","001","","24","3.286","29.2",".","54.2",".","4.2",".",".","12.5",".",".",".",".",".",".",".","."
"399","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"500
Senior Capstone Experience","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501
Principles-Plant Breeding","001","","12","3.292","50.0","8.3","25.0",".","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"502
Techniques-Plant Breeding","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"555
Plant Genomics&Bioinformatics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"565
Ethics of Modern Biotechnology","001","","7","3.357","14.3","71.4",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"771
Experimental Designs","001","","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"772
Applications in ANOVA","001","","26","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"799
Practicum-Agronomy Teaching","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920
Seminar","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","","Page 8 of 409"
