"L&S","","","","","","","","","","","","","","","","","","","",""
"LAFOLLETTE SCHOOL PUB AFF Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","",""
"","799
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Energy Analysis Seminar","810
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Stat Meths-Pub Pol Anal","819
001","","35","3.643","34.3","60.0","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Administrative Internship","827
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Macroecon Pol & Int'l Fin Reg","854
001","","14","3.536","35.7","35.7","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trade, Competition&Governance","856
001","","9","3.500","44.4","11.1","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop-Int'l Public Affairs","860
001","","18","3.806","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Environmentl Governance","866
001","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","869
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","869
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","869
003","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Public Affairs","Course Total","","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","873
001","","21","3.738","47.6","52.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","873
002","","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
873","","17","3.567","35.3","29.4","23.5",".",".",".",".",".",".",".",".",".","11.8",".",".","."
"Intro to Policy Analysis","Course Total","","53","3.716","49.1","39.6","7.5",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"Policy-Making Process","001
874","","34","3.712","41.2","55.9",".",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Compartve&Natnl Social Policy","888
001","","15","3.633","33.3","60.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Budgeting","892
001","","21","3.800","57.1","38.1",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"","974
001","","11","3.700","45.5","36.4","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","974
004","","15","3.857","66.7","26.7",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","974
005","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Public Affairs","Course Total","","40","3.803","62.5","27.5","5.0",".",".",".",".","2.5",".",".",".",".","2.5",".",".","."
"PUB AFFR
826","Dept. Total","","288","3.744","53.8","38.2","5.9",".",".",".",".","0.7",".",".",".",".","1.4",".",".","."
