"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"NEUROSCI","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","42","3.770","85.7","2.4","7.1",".","4.8",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","252","3.669","70.2","11.5","11.9","3.2","1.6","0.4","0.4",".","",".",".","",".","",".","0.4",".","0.4","."
"Undergraduates","296","3.687","72.6","10.1","11.1","2.7","2.0","0.3","0.3",".","",".",".","",".","",".","0.3",".","0.3","."
"Special","10","3.069","40.0","20.0","20.0","10.0",".",".","10.0",".","",".",".","",".","",".",".",".",".","."
"Graduate","141","3.792","18.4","5.0","2.1",".",".",".",".","69.5","",".",".","",".","",".",".",".","5.0","."
"Prof Yr 1","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","4","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","10","4.000","30.0",".",".",".",".",".",".","70.0","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","10","4.000","20.0",".",".",".",".",".",".","80.0","",".",".","",".","",".",".",".",".","."
"Professionals","25","3.929","20.0","4.0",".",".",".",".",".","76.0","",".",".","",".","",".",".",".",".","."
