"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","100
001","53","3.058","20.8","9.4","47.2","9.4","9.4",".","1.9","1.9",".",".",".",".",".",".",".","."
"","100
002","51","2.951","25.5","17.6","23.5","7.8","15.7","9.8",".",".",".",".",".",".",".",".",".","."
"Intro Financial Accounting","Course Total","104","3.005","23.1","13.5","35.6","8.7","12.5","4.8","1.0","1.0",".",".",".",".",".",".",".","."
"","001
211","27","3.074","22.2","11.1","44.4","3.7","18.5",".",".",".",".",".",".",".",".",".",".","."
"","002
211","19","3.184","26.3","5.3","52.6","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","211
003","32","2.938","9.4","15.6","46.9","9.4","18.8",".",".",".",".",".",".",".",".",".",".","."
"","211
004","26","3.250","34.6","15.4","30.8","3.8","15.4",".",".",".",".",".",".",".",".",".",".","."
"","211
005","44","3.023","20.5","9.1","40.9","13.6","15.9",".",".",".",".",".",".",".",".",".",".","."
"","006
211","38","3.013","28.9","15.8","21.1","2.6","28.9","2.6",".",".",".",".",".",".",".",".",".","."
"","211
007","42","3.036","21.4","11.9","45.2","4.8","14.3",".","2.4",".",".",".",".",".",".",".",".","."
"","008
211","43","2.884","14.0","9.3","44.2","9.3","20.9","2.3",".",".",".",".",".",".",".",".",".","."
"","211
009","41","2.988","22.0","9.8","39.0","7.3","19.5","2.4",".",".",".",".",".",".",".",".",".","."
"","211
010","42","3.036","19.0","9.5","50.0","7.1","11.9","2.4",".",".",".",".",".",".",".",".",".","."
"","211
011","25","2.720","12.0","12.0","32.0","12.0","28.0",".","4.0",".",".",".",".",".",".",".",".","."
"","211
012","25","3.260","32.0","16.0","36.0","4.0","12.0",".",".",".",".",".",".",".",".",".",".","."
"","211
013","44","3.125","25.0","9.1","45.5","6.8","13.6",".",".",".",".",".",".",".",".",".",".","."
"Intro Managerial Accounting","Course Total","448","3.031","21.7","11.4","40.8","7.4","17.4","0.9","0.4",".",".",".",".",".",".",".",".","."
"","300
001","134","3.159","27.6","23.9","20.9","9.7","10.4","2.2","1.5","2.2","0.7",".",".",".",".",".","0.7","."
"","300
002","47","3.330","27.7","21.3","34.0","6.4","4.3",".",".","6.4",".",".",".",".",".",".",".","."
"Accounting Principles","Course Total","181","3.202","27.6","23.2","24.3","8.8","8.8","1.7","1.1","3.3","0.6",".",".",".",".",".","0.6","."
"","301
001","49","3.316","24.5","38.8","24.5","4.1","6.1","2.0",".",".",".",".",".",".",".",".",".","."
"","301
002","49","3.163","22.4","42.9","14.3","6.1","6.1","6.1","2.0",".",".",".",".",".",".",".",".","."
"","301
003","41","3.232","22.0","22.0","43.9","4.9","7.3",".",".",".",".",".",".",".",".",".",".","."
"","301
004","24","2.896","16.7","12.5","37.5","16.7","12.5",".","4.2",".",".",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","163","3.187","22.1","31.9","28.2","6.7","7.4","2.5","1.2",".",".",".",".",".",".",".",".","."
"","302
001","19","3.083","15.8","10.5","52.6","5.3","10.5",".",".","5.3",".",".",".",".",".",".",".","."
"","302
002","34","3.250","26.5","17.6","47.1","2.9","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"","003
302","35","3.171","22.9",".","65.7","11.4",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","88","3.184","22.7","9.1","55.7","6.8","3.4","1.1",".","1.1",".",".",".",".",".",".",".","."
"","310
001","46","3.478","45.7","8.7","43.5",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"","310
002","41","3.402","39.0","4.9","53.7","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Cost Management Systems","Course Total","87","3.443","42.5","6.9","48.3","1.1","1.1",".",".",".",".",".",".",".",".",".",".","."
"Taxatn:Bus & Persnl Planng","001
329","28","3.071","14.3","32.1","17.9","25.0","10.7",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Accounting","399
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","406
001","31","3.355","32.3","22.6","35.5","3.2","6.5",".",".",".",".",".",".",".",".",".",".","."
"","002
406","18","3.417","38.9","22.2","27.8","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Advanced Financial Reporting","Course Total","49","3.378","34.7","22.4","32.7","4.1","6.1",".",".",".",".",".",".",".",".",".",".","."
"Acct Internshp & Prac Rsch","600
001","93","3.989","97.8","2.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pro Prac Iss-Acct & Auditng","601
001","94","3.596","51.1","19.1","27.7","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Statement Analysis","603
001","36","3.486","33.3","38.9","19.4","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","37","3.311","29.7","27.0","21.6","18.9","2.7",".",".",".",".",".",".",".",".",".",".","."
"","002
620","44","3.193","29.5","29.5","11.4","22.7","2.3","2.3","2.3",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","81","3.247","29.6","28.4","16.0","21.0","2.5","1.2","1.2",".",".",".",".",".",".",".",".","."
"Audit and Assurance Services","001
630","67","3.478","40.3","23.9","29.9","3.0","3.0",".",".",".",".",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","Page 53 of 409"
