"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"JEWISH STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"510
JEWISH","","","","","","","","","","","","","","","","","","",""
"Elem Topics in Jewish Lit","230
001","12","3.551","50.0","25.0","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Food in Rabbinic Judasim","278
001","17","3.235","17.6","35.3","35.3",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"Intro to Hebrew Literature","302
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Modern Jewish Literature","318
001","42","3.622","57.1","26.2","7.1","4.8",".",".","2.4","2.4",".",".",".",".",".",".",".","."
"Classical Rabbinic Lit in Tran","328
001","9","3.056","11.1","44.4","22.2","11.1",".","11.1",".",".",".",".",".",".",".",".",".","."
"Prophets of the Bible","332
001","10","3.389","30.0","20.0","30.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"Adv Topics in Jewish History","631
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Colloquium for Majors","675
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","677
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","677
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","677
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independnt Research for Majors","Course Total","4","***","","","","","","","","","","","","","","","",""
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"JEWISH
510","Dept. Total","105","3.500","41.0","26.7","16.2","3.8","2.9","1.0","1.0","1.9",".","3.8",".",".","1.9",".",".","."
