"AFRO-AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151
001","19","3.000","5.3","21.1","31.6","21.1","5.3",".",".",".",".",".",".",".","15.8",".",".","."
"Black Music&Am Cultrl Hist","156
001","278","3.551","37.1","36.7","21.9","2.5",".",".",".","1.8",".",".",".",".",".",".",".","."
"Directed Study","199
007","17","3.971","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Black Women Writers","222
001","62","3.792","79.0","9.7","1.6","4.8",".",".","1.6",".",".",".",".",".","3.2",".",".","."
"Masterpieces of Afro Amer Lit","227
001","89","2.826","7.9","27.0","18.0","28.1","14.6","3.4","1.1",".",".",".",".",".",".",".",".","."
"Intro to Afro-Am History","231
001","91","3.423","36.3","26.4","31.9","1.1","3.3",".","1.1",".",".",".",".",".",".",".",".","."
"Intro to Afro-American Art","242
001","32","3.188","18.8","28.1","37.5","9.4","3.1","3.1",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260
001","8","3.125","37.5","25.0","12.5",".","12.5","12.5",".",".",".",".",".",".",".",".",".","."
"African-American Autobiography","265
001","46","3.411","30.4","37.0","17.4","8.7","4.3",".",".",".",".",".",".",".","2.2",".",".","."
"Race&Am Pol:New Deal-New Right","001
272","41","3.808","65.9","22.0","7.3",".",".",".",".","4.9",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","19","3.026","10.5","15.8","47.4","21.1","5.3",".",".",".",".",".",".",".",".",".",".","."
"Race&Gendr-Post-WW II  US Soc","326
001","15","3.433","46.7","6.7","40.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"The Caribbean & its Diasporas","347
001","23","3.174","30.4","34.8","13.0","8.7","4.3","4.3","4.3",".",".",".",".",".",".",".",".","."
"Race, Amer Med & Pub Health","523
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"The Black Arts Movement","603
001","16","3.633","43.8","31.3","18.8",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Gender, Race&Civil Rgts Mvmnt","625
001","12","3.167","33.3",".","41.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"Topics in Afro-Am History","671
001","16","3.533","43.8","31.3","6.3","6.3","6.3",".",".",".",".",".",".",".","6.3",".",".","."
"Selected Topics:Afro-Am Lit","672
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Afro-Am Society","673
001","10","3.100",".","70.0",".","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","699
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
022","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","Course Total","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","790
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","4","***","","","","","","","","","","","","","","","",""
"Vis Cult: Topics in Vis Cult","802
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"AFROAMER
106","Dept. Total","814","3.420","37.6","28.0","20.3","7.0","3.4","0.7","0.5","1.2",".",".",".","0.1","1.1",".",".","."
