"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","286","3.259","17.8","34.3","34.6","11.2","1.0","0.7","0.3",".",".",".",".",".",".",".",".","."
"","002
300","225","3.063","8.0","30.2","37.8","17.8","4.0","1.3","0.4",".",".",".",".",".",".",".",".","0.4"
"Marketing Management","Course Total","511","3.173","13.5","32.5","36.0","14.1","2.3","1.0","0.4",".",".",".",".",".",".",".",".","0.2"
"","001
305","63","3.302","34.9","19.0","30.2","6.3","7.9","1.6",".",".",".",".",".",".",".",".",".","."
"","305
002","67","3.119","19.4","26.9","31.3","9.0","10.4","3.0",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","130","3.208","26.9","23.1","30.8","7.7","9.2","2.3",".",".",".",".",".",".",".",".",".","."
"","310
001","41","3.317","29.3","19.5","39.0","9.8","2.4",".",".",".",".",".",".",".",".",".",".","."
"","310
002","49","3.316","28.6","22.4","34.7","12.2","2.0",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","90","3.317","28.9","21.1","36.7","11.1","2.2",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","399
160","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","415
001","47","3.457","29.8","42.6","17.0","10.6",".",".",".",".",".",".",".",".",".",".",".","."
"","415
002","58","3.405","27.6","36.2","34.5",".",".",".","1.7",".",".",".",".",".",".",".",".","."
"Marketing Communications","Course Total","105","3.429","28.6","39.0","26.7","4.8",".",".","1.0",".",".",".",".",".",".",".",".","."
"Global Marketing Strategy","001
420","33","3.438","21.2","45.5","27.3","3.0",".",".",".","3.0",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","421
001","33","3.485","36.4","36.4","24.2",".",".","3.0",".",".",".",".",".",".",".",".",".","."
"Enterprise Sys & Supply Chain","427
001","38","3.303","23.7","28.9","34.2","10.5","2.6",".",".",".",".",".",".",".",".",".",".","."
"","460
001","48","3.458","35.4","20.8","43.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
002","21","3.095","4.8","9.5","85.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
460","43","3.349","23.3","37.2","37.2",".",".",".","2.3",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","112","3.348","25.0","25.0","49.1",".",".",".","0.9",".",".",".",".",".",".",".",".","."
"","001
640","32","2.903","9.4","28.1","21.9","21.9","9.4","6.3",".","3.1",".",".",".",".",".",".",".","."
"","640
002","17","3.206","29.4","35.3","17.6","5.9",".","11.8",".",".",".",".",".",".",".",".",".","."
"Retail Management","Course Total","49","3.010","16.3","30.6","20.4","16.3","6.1","8.2",".","2.0",".",".",".",".",".",".",".","."
"Marketing Management","700
031","33","3.742","48.5","51.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","710
001","20","3.625","40.0","45.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","001
715","35","3.586","42.9","37.1","14.3","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Global Sourcing","724
001","23","3.804","60.9","39.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Enterprise Sys & Supply Chain","727
001","47","3.702","59.6","21.3","19.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Developg New Products:Practicm","737
001","24","3.771","58.3","37.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","36","3.722","61.1","27.8","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","003
765","27","3.926","85.2","14.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
030","39","3.872","74.4","25.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","123","3.861","75.6","21.1","1.6","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","799
160","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qual-Based Marketing Insights","805
001","23","3.696","39.1","60.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Marketing PhD","972
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
107","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
160","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Marketing","Course Total","2","***","","","","","","","","","","","","","","","",""
"","999
055","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
107","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","Page 61 of 409"
