"Senior Honors Thesis","682
001","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Study","699
001","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Global Studies Seminar","720
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"INTL ST
504","Dept. Total","389","3.338","34.4","12.1","11.8","8.2","5.9","0.3","0.3","1.3","",".","25.2","",".","",".","0.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","21","3.586","33.3","4.8","9.5","4.8",".",".",".","4.8","",".","42.9","",".","",".",".",".",".","."
"Sophomore","","100","3.269","24.0","12.0","15.0","8.0","5.0",".",".",".","",".","36.0","",".","",".",".",".",".","."
"Junior","","88","3.044","18.2","14.8","12.5","11.4","12.5",".","1.1",".","",".","29.5","",".","",".",".",".",".","."
"Senior","","136","3.440","42.6","14.0","13.2","9.6","2.9","0.7",".","2.9","",".","13.2","",".","",".","0.7",".",".","."
"Undergraduates","","345","3.305","30.4","13.0","13.3","9.3","5.8","0.3","0.3","1.4","",".","25.8","",".","",".","0.3",".",".","."
"Special","","34","3.559","58.8","5.9",".",".","8.8",".",".",".","",".","26.5","",".","",".",".",".",".","."
"Graduate","","10","4.000","90.0",".",".",".",".",".",".",".","",".",".","",".","",".","10.0",".",".","."
"","Dept. Total","389","3.338","34.4","12.1","11.8","8.2","5.9","0.3","0.3","1.3","",".","25.2","",".","",".","0.5",".",".","."
