"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
001","10","2.850","10.0","30.0","30.0",".","20.0","10.0",".",".",".",".",".",".",".",".",".","."
"","100
002","11","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
100","11","3.600","18.2","72.7",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","004
100","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
005","12","3.333","16.7","50.0","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","006
100","12","3.083","33.3","25.0","16.7","8.3","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"","100
007","10","3.200",".","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","008
100","13","3.708","46.2","38.5","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","100
009","13","3.500","23.1","53.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
100","12","3.292","25.0","41.7","25.0",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","100
011","12","3.417","25.0","50.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
012","13","3.538","23.1","61.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
100","12","3.208","16.7","50.0","16.7","8.3",".","8.3",".",".",".",".",".",".",".",".",".","."
"","014
100","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
015","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
016","13","3.346","15.4","38.5","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
017","13","3.385","38.5","38.5","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".",".","."
"","100
018","13","3.000","23.1","23.1","15.4","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"","100
019","11","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
020","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","021
100","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","022
100","12","3.375","33.3","41.7","16.7",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","100
025","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
026","13","3.269",".","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
027","12","3.083","50.0","16.7",".",".","16.7","16.7",".",".",".",".",".",".",".",".",".","."
"","100
028","12","3.375","25.0","41.7","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
029","12","3.250",".","75.0","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
030","12","3.167","16.7","33.3","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
031","13","3.231","38.5","15.4","23.1","15.4",".","7.7",".",".",".",".",".",".",".",".",".","."
"","032
100","12","3.250","8.3","50.0","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
033","11","3.591","45.5","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
034","13","3.423","15.4","53.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
035","13","3.577","30.8","53.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
036","13","3.038","7.7","23.1","61.5",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","Course Total","409","3.412","31.3","39.9","19.1","3.9","2.7","2.4","0.2",".",".",".",".",".","0.5",".",".","."
"","105
001","19","3.447","31.6","47.4","10.5",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"","105
002","19","3.632","47.4","31.6","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
003","19","3.684","42.1","52.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
004","19","3.222","31.6","15.8","21.1","15.8","10.5",".",".","5.3",".",".",".",".",".",".",".","."
"","105
005","18","3.471","44.4","22.2","22.2",".",".","5.6",".","5.6",".",".",".",".",".",".",".","."
"","105
006","17","3.647","58.8","23.5","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Public Speaking","Course Total","111","3.518","42.3","32.4","15.3","2.7","4.5","0.9",".","1.8",".",".",".",".",".",".",".","."
"Intro-Digital Media Production","155
001","106","3.476","40.6","31.1","17.9","5.7","3.8","0.9",".",".",".",".",".",".",".",".",".","."
"Radio,TV&Film as Mass Media","250
001","211","2.961","8.1","25.1","35.5","19.4","7.1","0.9","1.9",".",".",".",".",".","0.5",".","0.9","0.5"
"Communication & Human Behav","260
001","223","2.946","6.3","25.1","44.4","12.6","6.7","3.6","1.3",".",".",".",".",".",".",".",".","."
