"REHAB PSYCH & SPECIAL EDU","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","",""
"","300
001","92","3.783","79.3","13.0","4.3",".","1.1",".","2.2",".",".",".",".",".",".",".",".","."
"","002
300","92","3.864","77.2","18.5","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","184","3.823","78.3","15.8","4.3",".","0.5",".","1.1",".",".",".",".",".",".",".",".","."
"","330
001","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","330
002","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Behav Anal:Person-Disabilty","Course Total","46","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tching Math in Inclusive Set","365
001","7","3.571","42.9","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"AAC and Assistive Tech","401
001","27","4.000","96.3",".",".",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"Teaching Science & Soc Studies","001
404","21","3.905","95.2",".",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","405
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","405
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","405
003","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","405
004","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics in Special Ed","Course Total","67","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading Inst for Stdt with Dis","465
001","26","3.960","88.5","7.7",".",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"Methods in Transtn & Voc Educ","472
001","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgmt: Stdts/Lrn&Bhv Disability","473
001","25","3.979","92.0","4.0",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"Diagnosis&Assessmt:Lrn&Bhv Dis","474
001","23","4.000","95.7",".",".",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Pract: Stdts/Lrn&Bhv Dis, K-9","475
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract:Stdts/Lrn&Bhv Dis, 6-12","476
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","477
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","477
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach: Lrn&Bhv Dis, K-9","Course Total","13","3.931","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Teach:Lrn & Bhv Dis, 6-12","478
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
001","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
501","17","3.794","88.2","5.9",".",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Applcatn","Course Total","39","3.897","92.3","5.1",".",".",".","2.6",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","506
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Psych-Medical Aspects","550
001","18","3.706","38.9","55.6",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","630
020","39","3.979","92.3","5.1",".",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"","630
191","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
192","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","193
630","9","3.864","88.9",".",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","630
194","8","3.786","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","71","3.950","93.0","2.8","1.4","1.4",".",".",".",".",".",".",".",".","1.4",".",".","."
"","660
035","14","3.542","28.6","42.9","7.1","7.1",".",".",".",".",".",".",".",".","14.3",".",".","."
"","660
048","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","16","3.536","25.0","50.0","6.3","6.3",".",".",".",".",".",".",".",".","12.5",".",".","."
"","690
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","Page 76 of 409"
