"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","",""
"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","300
001","126","3.105","18.3","29.4","24.6","15.1","7.1","4.0",".",".",".",".",".",".","0.8","0.8",".","."
"","002
300","126","3.032","14.3","24.6","33.3","13.5","12.7","0.8","0.8",".",".",".",".",".",".",".",".","."
"","004
300","45","2.966","13.3","22.2","26.7","24.4","6.7","4.4",".",".",".",".",".",".","2.2",".",".","."
"","005
300","38","3.263","31.6","23.7","28.9","7.9","2.6","5.3",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","335","3.077","17.6","26.0","28.7","14.9","8.7","3.0","0.3",".",".",".",".",".","0.6","0.3",".","."
"Rdg&Rsch-Operatns&Info Mgmt","399
106","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Operations Research II","411
001","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","421
001","6","3.250","50.0",".","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Database Mngmnt & Applications","001
442","22","3.450","27.3","27.3","36.4",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Production Planning&Control","654
001","35","3.971","94.3","5.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","48","3.469","29.2","35.4","35.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","46","3.565","37.0","39.1","23.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","030
700","47","3.532","36.2","34.0","29.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","141","3.521","34.0","36.2","29.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Research II","001
711","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","732
001","46","3.587","41.3","39.1","15.2","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
732","48","3.521","31.3","43.8","22.9","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"","030
732","49","3.571","44.9","24.5","30.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economics for Managers","Course Total","143","3.559","39.2","35.7","23.1","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
004","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
031","37","3.527","32.4","40.5","27.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","54","3.574","37.0","40.7","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qual & Productivity Improvemnt","770
001","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","799
157","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Plan-Qual/New Servc&Prodct","860
001","21","3.850","66.7","28.6",".",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","990
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","Course Total","2","***","","","","","","","","","","","","","","","",""
"Read&Rsch-Oper&Info Mgt PhD","999
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
