"KINESIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","",""
"","116","001","","24","3.646","50.0","33.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","116","002","","23","3.841","69.6","21.7","4.3",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"First Aid","","Course Total","","47","3.739","59.6","27.7","8.5","2.1",".",".",".","2.1",".",".",".",".",".",".",".","."
"Introduction to Kinesiology","119","001","","98","3.617","62.2","19.4","10.2","2.0","4.1","1.0","1.0",".",".",".",".",".",".",".",".","."
"Intro to Athletic Training","127","001","","39","3.513","38.5","30.8","28.2",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","197","001","","23","3.804","87.0","4.3","4.3",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"","197","002","","22","3.636","59.1","18.2","18.2",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Technique-Athletic Training","","Course Total","","45","3.722","73.3","11.1","11.1",".","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"Intro to Clinical Anat Hum Mov","227","001","","58","3.483","32.8","43.1","19.0","1.7","1.7","1.7",".",".",".",".",".",".",".",".",".","."
"Teaching Invasion Games","240","001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","002","","36","3.986","97.2","2.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","004","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Kinesiology","","Course Total","","50","3.989","98.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314","001","","63","3.548","46.0","28.6","20.6","1.6","1.6","1.6",".",".",".",".",".",".",".",".",".","."
"Assessmnt & Rsch-Phys Activity","315","001","","8","3.500","75.0",".","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"Adapted Physical Activity","316","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics of Human Movement","318","001","","60","3.008","16.7","26.7","28.3","8.3","16.7","1.7","1.7",".",".",".",".",".",".",".",".","."
"","323","001","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","002","","25","3.920","84.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Ed-Elem School Children","","Course Total","","48","3.948","89.6","10.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research in Kinesiology","330","001","","56","3.536","28.6","53.6","16.1",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"Specialized Tchg Experience","332","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Exercise Psychology","350","001","","61","3.408","34.4","39.3","13.1","4.9","1.6","4.9",".",".",".",".",".",".",".",".","1.6","."
"Therapeutic Strategies I","357","001","","18","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lifespan Motor Development","360","001","","34","3.779","70.6","17.6","8.8","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","","52","3.471","44.2","28.8","13.5","7.7","3.8","1.9",".",".",".",".",".",".",".",".",".","."
"Pract:Adapted Physical Educ","365","001","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","005","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","20","4.000","95.0",".",".",".",".",".",".",".",".",".",".",".",".",".","5.0","."
"Org&Admin-Ath Training Prgm","400","001","","30","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field-Athletic Training","450","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Med Probs-Exercise & Sports","457","001","","18","3.667","38.9","55.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Teaching Secondary PE","462","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478","001","","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479","001","","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Seminar-Athletic Training","499","001","","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Info for Teachers","501","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","","","Page 99 of 409"
