"HUMAN DEVEL & FAMILY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"362
Development of Young Child","001","","167","3.648","55.7","30.5","8.4",".","3.6","0.6","0.6","0.6",".",".",".",".",".",".",".","."
"363
Develp: Adolescence-Old Age","001","","173","3.349","34.7","32.4","15.6","8.1","5.8","2.3","0.6",".",".",".",".",".",".",".","0.6","."
"425
Rsch Meth in Hum Devel&Fam St","001","","29","3.259","20.7","44.8","10.3","20.7",".","3.4",".",".",".",".",".",".",".",".",".","."
"464
Play-Devlpmt & Role-Lifespan","001","","31","3.903","80.6","19.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"471
Parent-Child Relations","001","","27","3.630","40.7","48.1","7.4","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"474
Racial Ethnic Families in U.S.","001","","28","3.804","71.4","21.4","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"501","001","","15","3.767","73.3","20.0",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"501","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","008","","48","3.792","87.5","2.1","4.2","2.1","2.1",".","2.1",".",".",".",".",".",".",".",".","."
"501","011","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"501","039","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","82","3.832","86.6","4.9","2.4","1.2","2.4",".","1.2",".",".",".",".",".",".",".","1.2","."
"516
Family Stress and Coping","001","","30","3.707","66.7","13.3","10.0","3.3","3.3",".",".",".",".",".",".",".","3.3",".",".","."
"517
Couple Relationships","001","","29","3.155","27.6","6.9","41.4","17.2","6.9",".",".",".",".",".",".",".",".",".",".","."
"522
American Indian Families","001","","21","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"535
Family Perspctv-Policymakng","001","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","002","","11","3.838","90.9",".",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"601","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"601","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","20","3.902","95.0",".",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"650
Parent Educ & Support Programs","001","","32","3.938","96.9",".",".",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"662
Adv Study of Young Child","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"766","001","","13","3.864","61.5","23.1",".",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"766","002","","10","3.722","70.0",".","10.0","10.0",".",".",".",".",".",".",".",".","10.0",".",".","."
"Current Iss-Family Living","Course Total","","23","3.763","65.2","13.0","4.3","4.3",".",".",".",".",".",".",".",".","13.0",".",".","."
"817
Couple Relationships","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"865
Family Theory I (Survey)","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"881
Capstone Smr in Prevention Sci","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","Page 145 of 409",""
