"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
002","81","3.331","30.9","33.3","22.2","4.9","4.9",".","2.5",".",".",".",".",".",".",".","1.2","."
"","101
003","73","2.925","6.8","32.9","30.1","17.8","5.5","4.1","2.7",".",".",".",".",".",".",".",".","."
"","101
004","79","3.064","19.0","22.8","29.1","17.7","6.3","2.5","1.3",".",".",".",".",".",".","1.3",".","."
"","005
101","155","3.235","10.3","44.5","33.5","7.1","1.3","1.3","0.6","0.6",".",".",".",".","0.6",".",".","."
"","006
101","64","3.094","21.9","25.0","21.9","18.8","10.9",".","1.6",".",".",".",".",".",".",".",".","."
"","101
007","34","3.091","26.5","17.6","17.6","17.6","17.6",".",".",".",".",".",".",".",".",".",".","2.9"
"Introduction to Philosophy","Course Total","486","3.148","17.3","32.9","27.8","12.3","5.8","1.4","1.4","0.2",".",".",".",".","0.2","0.2","0.2","0.2"
"","001
210","124","3.045","24.2","20.2","29.0","11.3","7.3","2.4","4.0",".",".",".",".",".",".",".","1.6","."
"","210
002","75","3.493","56.0","16.0","17.3","2.7","4.0","2.7","1.3",".",".",".",".",".",".",".",".","."
"Reason in Communication","Course Total","199","3.216","36.2","18.6","24.6","8.0","6.0","2.5","3.0",".",".",".",".",".",".",".","1.0","."
"","211
001","78","2.981","34.6","5.1","24.4","6.4","21.8","5.1","1.3",".",".",".",".",".",".",".","1.3","."
"","211
002","72","3.415","26.4","43.1","16.7","11.1","1.4",".",".","1.4",".",".",".",".",".",".",".","."
"","211
003","75","3.378","48.0","22.7","12.0","1.3","9.3","4.0","1.3","1.3",".",".",".",".",".",".",".","."
"","004
211","19","3.658","63.2","21.1","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","244","3.284","38.5","23.0","16.8","6.1","10.7","2.9","0.8","0.8",".",".",".",".",".",".","0.4","."
"","241
001","77","3.567","36.4","42.9","14.3","2.6","1.3",".",".","1.3",".",".",".",".",".",".","1.3","."
"","241
002","77","3.507","33.8","40.3","23.4",".",".",".","1.3",".",".",".",".",".","1.3",".",".","."
"Introductory Ethics","Course Total","154","3.536","35.1","41.6","18.8","1.3","0.6",".","0.6","0.6",".",".",".",".","0.6",".","0.6","."
"","341
001","157","3.516","28.0","47.8","21.0","1.9",".",".",".","1.3",".",".",".",".",".",".",".","."
"","002
341","72","3.174","15.3","26.4","37.5","19.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"","341
003","73","3.336","37.0","31.5","19.2","2.7","4.1","2.7","2.7",".",".",".",".",".",".",".",".","."
"","341
004","27","3.222","11.1","44.4","29.6","7.4","7.4",".",".",".",".",".",".",".",".",".",".","."
"","341
005","26","3.596","57.7","23.1","11.5","3.8",".","3.8",".",".",".",".",".",".",".",".",".","."
"","093
341","18","3.417","33.3","33.3","22.2","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","341
094","20","3.675","50.0","40.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","095
341","21","3.429","33.3","47.6","14.3",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","341
096","21","3.833","71.4","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","435","3.430","31.7","37.7","21.6","5.5","1.6","0.7","0.7","0.5",".",".",".",".",".",".",".","."
"Hist of Ancient Philosophy","430
001","54","3.387","20.4","38.9","35.2","3.7",".",".",".",".",".",".",".",".",".","1.9",".","."
"History-Modern Philosophy","432
001","48","3.385","47.9","12.5","25.0","6.3","6.3",".","2.1",".",".",".",".",".",".",".",".","."
"French Philos-Existentialsm","440
002","19","3.316","15.8","47.4","21.1","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Philosophers","454
001","14","3.692","57.1","14.3","21.4",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","464
001","21","3.333","19.0","47.6","28.6",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"","002
464","13","3.308","46.2","23.1","15.4","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"Classical Philosophers","Course Total","34","3.324","29.4","38.2","23.5","2.9",".","2.9","2.9",".",".",".",".",".",".",".",".","."
"Junior Honors Seminar","481
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory of Knowledge","001
503","22","2.886","27.3","22.7","9.1","9.1","22.7","4.5","4.5",".",".",".",".",".",".",".",".","."
"Spec Tops-Theory of Knowldg","504
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Symbolic Logic","511
001","14","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Health Ethics","515
001","9","3.750","66.7","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","11.1","."
"Language and Meaning","516
001","24","3.478","41.7","25.0","16.7","8.3","4.2",".",".",".",".",".",".",".",".","4.2",".","."
"Philos Prblms-Biol Sciences","523
001","11","3.250","18.2","27.3","27.3","18.2",".",".",".",".",".",".",".",".",".",".","9.1","."
"Philosophy and Economics","524
001","12","3.375","66.7","8.3",".","16.7",".",".","8.3",".",".",".",".",".",".",".",".","."
