"L&S","","","","","","","","","","","","","","","","","","","","",""
"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"SOC
900","Dept. Total","2611","3.313","36.8","21.1","19.0","6.7","6.6","1.8","0.9","5.7","",".","0.1","",".","0.3","0.5","0.3","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","190","3.010","16.8","21.6","34.2","14.2","9.5","2.1","1.6",".","",".",".","",".",".",".",".",".","."
"Sophomore","","459","3.344","32.7","28.8","26.4","6.1","4.8","0.9","0.4",".","",".",".","",".",".",".",".",".","."
"Junior","","624","3.367","40.7","22.6","20.8","5.9","7.2","1.4","0.5",".","",".","0.2","",".",".","0.5","0.2",".","."
"Senior","","947","3.222","36.1","22.6","17.5","8.4","8.9","3.2","1.4","0.5","",".","0.1","",".","0.1","0.3","0.8",".","."
"Undergraduates","","2220","3.270","35.0","23.8","21.7","7.7","7.6","2.1","0.9","0.2","",".","0.1","",".","0.0","0.3","0.4",".","."
"Special","","40","3.237","40.0","20.0","17.5","7.5","7.5",".","5.0","2.5","",".",".","",".",".",".",".",".","."
"Graduate","","349","3.919","47.6","4.3","1.7","0.3",".",".",".","40.7","",".",".","",".","2.0","2.3",".","1.1","."
"Prof Yr 4","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","2611","3.313","36.8","21.1","19.0","6.7","6.6","1.8","0.9","5.7","",".","0.1","",".","0.3","0.5","0.3","0.2","."
