"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"","821
001","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
821","13","3.577","46.2","23.1","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Aging and Mental Health","Course Total","28","3.750","67.9","14.3","17.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mental Hlth Policies&Services","001
836","33","3.924","90.9","3.0","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
840","21","3.881","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
004","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
840","24","3.646","33.3","62.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
006","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Macro Practice","Course Total","112","3.853","72.3","25.9","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crises Intervention-Soc Wrk","854
001","17","3.906","76.5","17.6",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","868
001","22","3.714","50.0","36.4","9.1",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Soc Work Practice in Hlth Care","873
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","924
001","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","924
002","11","3.591","72.7",".",".","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"Family Problems & Soc Work","Course Total","27","3.741","74.1","11.1","3.7","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","929
001","13","3.692","61.5","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","929
002","25","3.820","68.0","28.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","929
003","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Work & Substance Abuse","Course Total","57","3.842","75.4","19.3","3.5","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"Student Research Seminar","947
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PhD Proseminar","951
001","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"PhD Proseminar","001
952","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","990
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
040","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
049","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis-Research","Course Total","13","",".",".",".",".",".",".",".","92.3",".",".",".","7.7",".",".",".","."
"","999
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
031","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
032","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
037","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
060","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","11","4.000","54.5",".",".",".",".",".",".","9.1",".",".",".",".","18.2",".","18.2","."
