"LEGAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"535
LEGAL ST","","","","","","","","","","","","","","","","","","",""
"","131
001","30","2.783","20.0","6.7","30.0","16.7","20.0","3.3","3.3",".",".",".",".",".",".",".",".","."
"","131
002","94","2.878","11.7","14.9","31.9","24.5","14.9","2.1",".",".",".",".",".",".",".",".",".","."
"Criminal Justice in America","Course Total","124","2.859","13.7","12.9","31.5","22.6","16.1","2.4","0.8",".",".",".",".",".",".",".",".","."
"Law, Politics and Society","001
217","59","3.059","15.3","28.8","32.2","6.8","13.6","3.4",".",".",".",".",".",".",".",".",".","."
"","400
014","106","3.562","62.3","15.1","7.5","7.5","3.8","1.9","0.9",".",".",".",".",".","0.9",".",".","."
"","400
017","19","3.167","10.5","26.3","42.1","15.8",".",".",".","5.3",".",".",".",".",".",".",".","."
"Topics: Legal Studies&Soc Sci","Course Total","125","3.504","54.4","16.8","12.8","8.8","3.2","1.6","0.8","0.8",".",".",".",".","0.8",".",".","."
"Human Rights in Law & Society","409
001","31","3.065","16.1","22.6","41.9","9.7","6.5",".","3.2",".",".",".",".",".",".",".",".","."
"Law in Action","001
444","65","3.931","86.2","13.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","450
016","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","450
017","58","3.107","20.7","17.2","37.9","10.3","8.6",".","1.7","1.7",".",".",".",".","1.7",".",".","."
"","450
019","34","3.147","11.8","32.4","32.4","20.6","2.9",".",".",".",".",".",".",".",".",".",".","."
"Topic:Legal Studies&Humanities","Course Total","97","3.153","18.6","24.7","34.0","13.4","6.2",".","1.0","1.0",".",".",".",".","1.0",".",".","."
"Rule of Law:Philos&Hist Models","001
459","35","3.157","14.3","45.7","17.1","14.3","5.7",".","2.9",".",".",".",".",".",".",".",".","."
"Law and Colonialism","502
001","12","2.542","8.3","8.3","33.3",".","41.7","8.3",".",".",".",".",".",".",".",".",".","."
"Legal Pluralism","510
001","44","2.591","6.8","31.8","15.9","13.6","11.4","15.9","4.5",".",".",".",".",".",".",".",".","."
"Sociology of Law","641
001","38","3.447","36.8","34.2","15.8","7.9","5.3",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
