"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","133","3.102","32.3","8.3","27.1","6.8","21.1",".","0.8","3.0",".",".",".",".","0.8",".",".","."
"","300
002","210","3.002","23.8","10.0","30.0","12.4","22.4",".",".","1.4",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","343","3.040","27.1","9.3","28.9","10.2","21.9",".","0.3","2.0",".",".",".",".","0.3",".",".","."
"Finc Mrkts,Instns&Econ Actv","001
305","33","3.125","24.2","12.1","33.3","18.2","9.1",".",".","3.0",".",".",".",".",".",".",".","."
"","320
001","39","3.538","51.3","25.6","10.3","5.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"","320
002","40","3.188","25.0","20.0","37.5","2.5","15.0",".",".",".",".",".",".",".",".",".",".","."
"","003
320","39","3.244","28.2","38.5","15.4","5.1","7.7","2.6","2.6",".",".",".",".",".",".",".",".","."
"","320
004","46","3.272","34.8","15.2","28.3","13.0","8.7",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","164","3.308","34.8","24.4","23.2","6.7","9.8","0.6","0.6",".",".",".",".",".",".",".",".","."
"","001
325","34","3.412","41.2","17.6","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","002
325","54","3.296","25.9","31.5","24.1","13.0","5.6",".",".",".",".",".",".",".",".",".",".","."
"","003
325","27","3.185","25.9","14.8","37.0","14.8","7.4",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","115","3.304","30.4","23.5","27.0","14.8","4.3",".",".",".",".",".",".",".",".",".",".","."
"","001
330","38","3.368","34.2","26.3","28.9","5.3","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"","330
002","50","3.200","26.0","30.0","24.0","10.0","6.0","2.0","2.0",".",".",".",".",".",".",".",".","."
"","330
003","29","3.241","27.6","27.6","27.6","13.8",".",".","3.4",".",".",".",".",".",".",".",".","."
"Derivative Securities","Course Total","117","3.265","29.1","28.2","26.5","9.4","3.4","1.7","1.7",".",".",".",".",".",".",".",".","."
"","365
001","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","002
365","13","3.769","69.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
003","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","34","3.803","70.6","14.7","11.8",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Bank Management","001
410","61","3.508","39.3","23.0","37.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Investmt Bankg & Capital Mrkts","001
420","22","3.432","40.9","18.2","27.3","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","32","3.323","25.0","25.0","34.4","12.5",".",".",".","3.1",".",".",".",".",".",".",".","."
"Entrepreneurial Finance","457
001","40","3.613","42.5","45.0","7.5","2.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"Bank Simulation and Strategy","610
001","23","3.761","69.6","13.0","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
001","15","3.567","46.7","20.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
002","24","3.521","37.5","29.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Security Analysis","Course Total","39","3.538","41.0","25.6","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","700
031","33","3.879","78.8","18.2","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Corporatn Finance Thry&Prac","725
030","60","3.525","36.7","31.7","31.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Valuatn&Corp Investmnt Decisns","726
001","36","3.653","55.6","19.4","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Raising Capital&Financing Firm","727
001","27","3.500","29.6","40.7","29.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Applied Portfolio Mgt","736
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anal-Fixed Income Securities","740
001","18","3.806","72.2","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","745
001","20","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Policy","001
755","16","3.500","31.3","31.3","31.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","765
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
031","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","52","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
059","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
115","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","4","***","","","","","","","","","","","","","","","",""
"July 22, 2013","","","","","","","","","","","","","","","","","","","Page 55 of 409"
