"INTEGRATED LIBERAL STUDIES Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","",""
"Principles-Envrnmtl Science","126","001","36","3.368","33.3","11.1","44.4","2.8","2.8",".",".",".",".",".",".",".","5.6",".",".","."
"","157","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","157","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","157","003","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157","004","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157","005","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157","006","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157","007","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157","008","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157","009","8","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"","157","010","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Bradley Roundtable Seminar","","Course Total","92","",".",".",".",".",".",".",".",".",".","97.8","2.2",".",".",".",".","."
"Directed Study","199","060","9","3.444","44.4","22.2","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Critical Thinkng & Expressn","200","001","68","3.926","89.7","7.4","1.5","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"W Culture:Sci,Tech,Philos I","201","001","65","3.468","50.8","24.6","7.7","4.6","3.1","6.2",".",".",".",".",".",".","3.1",".",".","."
"W Culture:Sci,Tech,Phil II","202","001","63","3.262","12.7","36.5","42.9","6.3","1.6",".",".",".",".",".",".",".",".",".",".","."
"West Cult: Lit&The Arts II","204","001","107","3.495","38.3","36.4","15.0","3.7","0.9","2.8",".","1.9",".",".",".",".",".",".","0.9","."
"W Cul:Pol,Econ&Soc Thght II","206","001","74","3.181","16.2","33.8","31.1","6.8","6.8","2.7",".","2.7",".",".",".",".",".",".",".","."
"Genres-Westrn Relig Writing","234","001","11","3.150","27.3","9.1","45.5",".",".","9.1",".","9.1",".",".",".",".",".",".",".","."
"PreCoperncn Astrn-Crosscltr","271","001","15","3.583","33.3","33.3","6.7","6.7",".",".",".","6.7",".",".",".",".","6.7",".","6.7","."
"","275","001","29","3.804","82.8","10.3",".",".",".",".","3.4",".",".",".",".",".","3.4",".",".","."
"","275","002","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in ILS","","Course Total","45","3.852","86.7","6.7","2.2",".",".",".","2.2",".",".",".",".",".","2.2",".",".","."
"","299","001","6","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"","299","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","018","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","12","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Peer Mentor Seminar","357","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Integration Seminar","400","001","22","3.705","50.0","40.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Culture Capstone Smr","401","001","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","490","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","490","056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch-Integrated LiberalStudies","","Course Total","3","***","","","","","","","","","","","","","","","",""
