"BUS","","","","","","","","","","","","","","","","","","",""
"MANAGEMENT AND HUMAN RE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","106","3.014","30.2","9.4","30.2","4.7","21.7","1.9","1.9",".",".",".",".",".",".",".",".","."
"","002
300","105","2.976","34.3","6.7","25.7","3.8","22.9","4.8","1.9",".",".",".",".",".",".",".",".","."
"","010
300","143","3.150","25.9","6.3","55.2","5.6","4.2","1.4","1.4",".",".",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","354","3.058","29.7","7.3","39.0","4.8","15.0","2.5","1.7",".",".",".",".",".",".",".",".","."
"","001
305","61","3.180","23.0","29.5","24.6","13.1","6.6","3.3",".",".",".",".",".",".",".",".",".","."
"","305
002","19","3.158","21.1","31.6","15.8","21.1","10.5",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","Course Total","80","3.175","22.5","30.0","22.5","15.0","7.5","2.5",".",".",".",".",".",".",".",".",".","."
"Social Entrepreneurship","321
001","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","54","3.407","24.1","35.2","38.9","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","002
322","57","3.304","19.3","28.1","43.9","7.0",".",".",".","1.8",".",".",".",".",".",".",".","."
"Intro to Entrepreneurial Mgnt","Course Total","111","3.355","21.6","31.5","41.4","4.5",".",".",".","0.9",".",".",".",".",".",".",".","."
"","002
365","33","3.788","87.9",".","6.1",".","3.0","3.0",".",".",".",".",".",".",".",".",".","."
"","365
005","15","3.800","80.0","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","48","3.792","85.4","2.1","6.3","2.1","2.1","2.1",".",".",".",".",".",".",".",".",".","."
"","399
063","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
159","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Management of Teams","401
001","40","3.550","17.5","77.5","2.5","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","403
001","32","3.984","96.9","3.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Management Consulting","412
001","18","3.676","50.0","27.8","16.7",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","422
001","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
422","33","3.470","27.3","42.4","27.3","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","Course Total","48","3.563","37.5","39.6","20.8","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"","423
001","29","3.483","24.1","51.7","20.7","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","002
423","36","3.472","22.2","55.6","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Management","Course Total","65","3.477","23.1","53.8","18.5","4.6",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneur Growth Strategies","427
001","41","3.585","41.5","39.0","17.1",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","434
001","43","3.535","16.3","74.4","9.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technology Entrepreneurship","441
001","12","3.042","25.0","16.7","25.0","8.3","25.0",".",".",".",".",".",".",".",".",".",".","."
"Intellectual Property Rights","540
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Personnel Staffing & Eval","611
001","12","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Labor-Management Relations","612
002","32","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628
001","36","3.833","69.4","27.8","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
628","36","3.569","38.9","44.4","11.1","2.8","2.8",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","Course Total","72","3.701","54.2","36.1","6.9","1.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"Managing Behav in Organizatns","704
030","49","3.939","89.8","8.2","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Mgmt of Innovation","001
715","48","3.677","54.2","35.4","6.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","722
001","57","3.667","36.8","59.6","3.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
001","46","3.533","26.1","54.3","19.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
002","48","3.542","35.4","41.7","20.8",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy","Course Total","94","3.537","30.9","47.9","20.2",".","1.1",".",".",".",".",".",".",".",".",".",".","."
"","001
728","36","3.972","97.2",".","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","Page 59 of 409"
