"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"BIOCHEM","","","","","","","","","","","","","","","","","","",""
"Freshmen","3","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","41","3.480","75.6","4.9","7.3","2.4","9.8",".",".",".",".",".","",".",".",".",".",".","."
"Junior","275","3.133","37.8","10.9","23.3","8.0","16.4","1.1","1.1","0.4",".",".","",".",".","0.4",".","0.7","."
"Senior","732","3.178","33.2","16.4","26.5","9.0","12.7","1.1","0.5",".",".",".","",".","0.3","0.3",".",".","."
"Undergraduates","1051","3.175","36.3","14.5","24.8","8.5","13.5","1.0","0.7","0.1",".",".","",".","0.2","0.3",".","0.2","."
"Special","23","3.028","21.7","8.7","34.8","4.3","21.7",".",".","8.7",".",".","",".",".",".",".",".","."
"Graduate","324","3.538","37.0","8.0","7.7","0.9","0.6","0.9",".","29.6","0.3",".","",".","14.2","0.6",".",".","."
"Prof Yr 2","1","",".",".",".",".",".",".",".",".",".",".","",".","100.0",".",".",".","."
"Prof Yr 3","4","3.571","50.0",".","25.0",".",".",".",".",".",".",".","",".","25.0",".",".",".","."
"Professionals","5","3.571","40.0",".","20.0",".",".",".",".",".",".",".","",".","40.0",".",".",".","."
