"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"LAW","","","","","","","","","","","","","","","","","","","","",""
"LAW","College Total","3644","1.257","9.2","0.3","16.8","0.0","3.3","0.2","0.1","23.3","",".",".",".","",".","0.1",".","0.1","1.1"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"LAW","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"Senior","","2","2.000",".",".",".",".","50.0",".",".","50.0","",".",".",".","",".",".",".",".","."
"Undergraduates","","2","2.000",".",".",".",".","50.0",".",".","50.0","",".",".",".","",".",".",".",".","."
"Special","","19","0.556",".","5.3","5.3",".","5.3",".",".","26.3","",".",".",".","",".",".",".",".","."
"Graduate","","28","3.696","46.4","35.7","7.1","3.6",".",".",".","7.1","",".",".",".","",".",".",".",".","."
"Prof Yr 1","","1044","1.225","8.4",".","26.4",".","4.5","0.3","0.1",".","",".",".",".","",".",".",".",".","."
"Prof Yr 2","","1131","1.246","9.2",".","13.8",".","2.5","0.2","0.3","31.7","",".",".",".","",".","0.2",".",".","2.0"
"Prof Yr 3","","1142","1.234","8.0",".","11.7",".","3.1","0.2",".","38.7","",".",".",".","",".","0.2",".",".","1.6"
"Prof Yr 4","","278","1.263","13.7",".","15.8",".","3.2",".",".","14.0","",".",".",".","",".","0.4",".","1.4","."
"Professionals","","3595","1.236","8.9",".","17.0",".","3.3","0.2","0.1","23.4","",".",".",".","",".","0.1",".","0.1","1.1"
"","College Total","3644","1.257","9.2","0.3","16.8","0.0","3.3","0.2","0.1","23.3","",".",".",".","",".","0.1",".","0.1","1.1"
