"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","12","3.333","50.0","25.0","8.3","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"","101
003","16","3.533","43.8","18.8","25.0","6.3",".",".",".",".",".",".",".",".","6.3",".",".","."
"","101
004","20","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
101","19","3.447","26.3","47.4","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","007
101","15","3.600","53.3","26.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","101
009","13","3.182","30.8","23.1","15.4","7.7",".",".","7.7","15.4",".",".",".",".",".",".",".","."
"","101
013","10","3.000","50.0","10.0",".","10.0","20.0",".","10.0",".",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","105","3.466","45.7","27.6","11.4","7.6","1.9",".","2.9","1.9",".",".",".",".","1.0",".",".","."
"","102
001","10","3.300","20.0","40.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
003","20","3.444","45.0","25.0","5.0","5.0","5.0","5.0",".","5.0",".",".",".",".","5.0",".",".","."
"","102
004","24","3.542","45.8","25.0","20.8","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","23","3.609","47.8","34.8","13.0",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","102
007","18","3.853","77.8","5.6","11.1",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","102
009","14","3.607","50.0","35.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","109","3.575","49.5","26.6","12.8","4.6","2.8","0.9",".","1.8",".",".",".",".","0.9",".",".","."
"Second Semester Italian Honors","182
001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
201","14","3.643","64.3","21.4",".","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","Course Total","28","3.750","71.4","17.9","3.6","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"","002
203","17","3.029","35.3","17.6","11.8",".","29.4","5.9",".",".",".",".",".",".",".",".",".","."
"","203
003","19","3.237","42.1","21.1","10.5","15.8","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","004
203","16","3.188","31.3","25.0","18.8","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","52","3.154","36.5","21.2","13.5","9.6","13.5","3.8","1.9",".",".",".",".",".",".",".",".","."
"","204
001","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","20","3.684","70.0","20.0",".",".",".",".","5.0","5.0",".",".",".",".",".",".",".","."
"Fourth Semester Italian","Course Total","31","3.717","67.7","22.6","3.2",".",".",".","3.2","3.2",".",".",".",".",".",".",".","."
"Italian for Rdg Knowledge","301
001","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Writing Workshop","001
312","13","3.577","46.2","23.1","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Italian Literature","322
001","10","3.650","60.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Rome:Changing Shape of City","350
001","9","3.444","33.3","44.4","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics: Ital Culture,Film,Lang","452
001","26","3.640","46.2","34.6","11.5","3.8",".",".",".","3.8",".",".",".",".",".",".",".","."
"Lineamenti Di Lett Italiana","632
001","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Il Romanzo Italiano","636
001","10","3.944","80.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Independent Study","799
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Issues-Mthds Teachng Fr&Itl","821
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Studies in Italian Lit","952
001","11","4.000","63.6",".",".",".",".",".",".",".",".",".",".",".","36.4",".",".","."
"","990
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","Course Total","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
