"LITERATURE IN TRANSLATION","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran II","202","001","27","3.380","29.6","25.9","25.9","7.4","3.7",".",".",".",".",".",".",".","7.4",".",".","."
"19&20 C Russian Lit Tran II","204","001","51","3.755","68.6","21.6","5.9",".","3.9",".",".",".",".",".",".",".",".",".",".","."
"Women in Russn Lit in Trans","205","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Masterpieces-Fr Lit & Culture","209","001","39","3.118","17.9","28.2","25.6","10.3","15.4",".",".","2.6",".",".",".",".",".",".",".","."
"Polish Lit Tran:14-Mid 19 C","215","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Dostoevsky in Translation","222","001","20","2.875","30.0","30.0",".","15.0","10.0","5.0","10.0",".",".",".",".",".",".",".",".","."
"Soviet Life&Cult (1917 on)","234","001","33","3.644","57.6","27.3","6.1","3.0","6.1",".",".",".",".",".",".",".",".",".",".","."
"Bascom Crse-In Translation","236","002","18","3.778","66.7","27.8",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","247","001","16","3.643","43.8","25.0","18.8",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","247","002","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Slavic Lit in Translatn","","Course Total","27","3.740","55.6","25.9","11.1",".",".",".",".","7.4",".",".",".",".",".",".",".","."
"Lt Tran:Dante-Divine Comedy","253","001","51","3.430","39.2","25.5","19.6","7.8","5.9",".",".",".",".",".",".",".",".",".","2.0","."
"Lit Tran: Modern Italy","254","001","44","3.786","56.8","36.4","2.3",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Lit:Image-Indiv Ital Renais","256","001","14","3.607","42.9","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lits of Muslim Societies-Trans","257","001","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Chinese Lit in Trans","262","001","26","3.942","92.3","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Japanese Lit in Tran","264","001","6","2.917",".","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"","274","001","60","3.203","5.0","50.0","28.3","10.0","5.0",".",".",".",".",".",".",".",".","1.7",".","."
"","274","002","35","3.457","17.1","57.1","25.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scand Lit in Tran-20th C","","Course Total","95","3.315","9.5","52.6","27.4","6.3","3.2",".",".",".",".",".",".",".",".","1.1",".","."
"","275","001","116","2.930","6.9","16.4","41.4","25.0","9.5",".",".","0.9",".",".",".",".",".",".",".","."
"","275","002","70","3.293","15.7","42.9","27.1","12.9","1.4",".",".",".",".",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","","Course Total","186","3.093","10.2","26.3","36.0","20.4","6.5",".",".","0.5",".",".",".",".",".",".",".","."
"German Classics-Translation","276","001","18","3.528","33.3","44.4","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asian Lit in Translation","304","001","20","3.588","45.0","10.0","30.0",".",".",".",".",".",".",".",".",".","15.0",".",".","."
"Modern Jewish Literature","318","001","14","3.571","42.9","35.7","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Scandinavian Literature","324","001","37","3.731","54.1","29.7","10.8",".",".",".",".","5.4",".",".",".",".",".",".",".","."
"Topics in Dutch Lit in Tran","326","001","24","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Rabbinic Lit in Tran","328","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Vampire in Literature and Film","329","001","287","3.481","37.3","35.2","17.1","5.9","2.4",".","0.7","1.0",".",".",".",".","0.3",".",".","."
"Prophets of the Bible","332","001","12","2.958","25.0","50.0",".","8.3",".",".","16.7",".",".",".",".",".",".",".",".","."
"In Trans:Mythlgy-Scandnavia","342","001","13","3.523","15.4","69.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit in Trans-Icelandic Saga","346","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Kalevala&Finn Folklr-Transl","347","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Scand Decadence-European Cntxt","350","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fr&Ital Renaissance Lit Online","360","001","58","2.648","13.8","20.7","19.0","10.3","3.4","12.1","6.9","10.3","3.4",".",".",".",".",".",".","."
"Topics in Japanese Lit","373","001","13","2.462","23.1","15.4","15.4",".","23.1","7.7","15.4",".",".",".",".",".",".",".",".","."
