"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","366","3.636","58.7","26.0","8.5","3.3","1.9","0.8","0.5","0.3",".",".",".",".",".",".",".","."
"Voice Training","140
001","15","3.700","66.7","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","150
001","18","3.528","27.8","61.1","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","150
002","18","3.778","77.8","11.1","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","150
003","20","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
004","17","3.765","82.4","11.8",".",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"","005
150","18","3.941","88.9",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","5.6"
"","150
006","20","3.725","85.0","5.0",".",".","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","150
010","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","131","3.804","77.9","14.5","3.1",".","2.3","1.5",".",".",".",".",".",".",".",".",".","0.8"
"Intro to Stage Production","001
160","18","3.750","72.2","11.1","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","161
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","19","3.868","89.5",".","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Theatre Production Laboratory","162
001","17","3.969","88.2","5.9",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Intermediate Voice Training","240
001","9","3.222","33.3","22.2","33.3",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"","250
001","13","3.833","69.2","15.4","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".","."
"","250
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","21","3.900","81.0","9.5","4.8",".",".",".",".",".",".",".",".",".",".","4.8",".","."
"Traditions in Dramatic Lit","324
001","28","3.786","71.4","21.4","3.6",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"History: Stage Costume","327
001","8","3.438","12.5","62.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals-Movemnt for Stage","342
001","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acting Realism","350
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
001","15","3.633","33.3","60.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
357","17","3.706","52.9","35.3","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","Course Total","48","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","001
361","17","3.975","88.2","5.9",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","362
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
005","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama in Education","Course Total","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin&Pract-Stage Costume Dsgn","363
001","17","3.491","23.5","47.1","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
366","9","3.400","22.2","55.6","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","366
002","8","3.935","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","Course Total","17","3.672","52.9","35.3","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Directing","001
368","26","3.731","69.2","23.1","3.8",".",".","3.8",".",".",".",".",".",".",".",".",".","."
"Sound for Theatre","371
001","16","3.700","68.8","12.5","6.3",".","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"Set Design I","372
001","7","3.583","42.9","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"July 22, 2013","","","","","","","","","","","","","","","","","","Page 317 of 409",""
