"","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"999","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","061","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","062","","6","3.824","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","069","","7","",".",".",".",".",".",".",".","14.3",".",".",".","85.7",".",".",".","."
"","Course Total","","23","3.935","52.2",".","4.3",".",".",".",".","17.4",".",".",".","26.1",".",".",".","."
