"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","233","2.464","15.5","6.0","28.8","10.3","19.3","12.9","7.3",".",".",".",".",".",".",".",".","."
"","101
002","249","2.516","16.1","4.0","29.3","10.0","25.7","8.8","6.0",".",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","482","2.491","15.8","5.0","29.0","10.2","22.6","10.8","6.6",".",".",".",".",".",".",".",".","."
"","102
001","20","3.150","20.0","30.0","30.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","002
102","17","3.500","35.3","35.3","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","28","3.518","32.1","42.9","21.4","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","21","3.262","9.5","38.1","47.6","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","19","3.605","47.4","36.8","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","102
006","13","3.385","38.5","23.1","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","102
007","22","3.455","31.8","31.8","31.8","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","15","3.767","66.7","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
009","20","3.625","40.0","50.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","17","3.412","29.4","41.2","17.6","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","102
011","15","3.667","60.0","13.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
012","22","3.705","59.1","22.7","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
013","14","3.393","28.6","35.7","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","102
014","21","3.357","19.0","42.9","28.6","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
015","18","3.500","44.4","22.2","27.8",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","016
102","19","3.342","26.3","26.3","36.8","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
017","21","3.405","28.6","28.6","38.1","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","102
018","22","3.705","54.5","31.8","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","344","3.485","36.6","32.8","24.1","4.4","1.7","0.3",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","151
001","97","2.800","14.4","9.3","37.1","7.2","24.7","5.2",".",".",".",".",".",".","2.1",".",".","."
"","152
001","60","2.992","15.0","15.0","38.3","13.3","16.7",".",".",".",".",".",".",".","1.7",".",".","."
"","152
002","44","2.750","11.4","2.3","52.3","11.4","15.9","4.5","2.3",".",".",".",".",".",".",".",".","."
"","152
003","39","3.179","23.1","10.3","56.4",".","10.3",".",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","143","2.968","16.1","9.8","47.6","9.1","14.7","1.4","0.7",".",".",".",".",".","0.7",".",".","."
"Introductory Biology","001
153","37","2.000","8.1","2.7","13.5","13.5","29.7","24.3","8.1",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260
001","46","3.211","37.0","10.9","26.1","13.0","8.7",".","2.2","2.2",".",".",".",".",".",".",".","."
"","299
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
031","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
049","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
081","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies in Zoology","Course Total","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Entomology","302
001","21","3.405","38.1","19.0","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Hum/An Relatn:Bio&Phils Iss","335
001","110","3.005","16.4","10.9","44.5","4.5","19.1",".",".","4.5",".",".",".",".",".",".",".","."
"Parasitology","350
001","58","2.750","12.1","3.4","48.3","8.6","22.4","3.4","1.7",".",".",".",".",".",".",".",".","."
"Medical Entomology","371
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
004","19","3.026","21.1","5.3","42.1","21.1","10.5",".",".",".",".",".",".",".",".",".",".","."
