"Topics in LACIS","Course Total","","17","3.652","64.7",".","23.5",".",".","",".","",".","5.9","",".",".","",".","",".","5.9",".",".","."
"Directed Study","698
001","","2","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Study","699
001","","6","4.000","100.0",".",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"Smr-Latin American Area","982
002","","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"LACIS
525","Dept. Total","","32","3.600","65.6","3.1","12.5",".","6.3","",".","",".","3.1","",".","6.3","",".","",".","3.1",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"525
LACIS","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","6","3.100","33.3","16.7",".",".","33.3","",".","",".",".","",".",".","",".","",".","16.7",".",".","."
"Junior","","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","","19","3.704","63.2",".","21.1",".",".","",".","",".","5.3","",".","10.5","",".","",".",".",".",".","."
"Undergraduates","","","27","3.500","59.3","3.7","14.8",".","7.4","",".","",".","3.7","",".","7.4","",".","",".","3.7",".",".","."
"Graduate","","","5","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","32","3.600","65.6","3.1","12.5",".","6.3","",".","",".","3.1","",".","6.3","",".","",".","3.1",".",".","."
