"","990
009","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
014","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
040","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"Research and Thesis","Course Total","6","",".",".",".",".",".",".",".","66.7",".",".",".","33.3","",".",".",".","."
"E M A
346","Dept. Total","923","2.984","21.1","17.7","29.4","11.5","11.6","3.4","2.3","2.1",".",".",".","0.9","",".",".",".","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","25","2.440","20.0","8.0","16.0","8.0","32.0","4.0","12.0",".",".",".",".",".","",".",".",".","."
"Sophomore","","277","2.811","14.8","11.9","38.3","9.0","18.8","3.6","2.9",".",".",".",".",".","",".",".",".","0.7"
"Junior","","283","2.966","19.4","17.7","31.1","16.6","9.9","3.5","1.8",".",".",".",".",".","",".",".",".","."
"Senior","","255","3.136","24.7","25.9","25.9","12.5","5.9","3.1","2.0",".",".",".",".",".","",".",".",".","."
"Undergraduates","","840","2.947","19.5","18.0","31.4","12.6","12.3","3.5","2.5",".",".",".",".",".","",".",".",".","0.2"
"Special","","15","3.419","46.7","6.7","20.0",".","13.3",".",".","13.3",".",".",".",".","",".",".",".","."
"Graduate","","68","3.547","35.3","16.2","5.9",".","2.9","2.9",".","25.0",".",".",".","11.8","",".",".",".","."
"","Dept. Total","923","2.984","21.1","17.7","29.4","11.5","11.6","3.4","2.3","2.1",".",".",".","0.9","",".",".",".","0.2"
