"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"WOMENS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
WOMEN ST","","","","","","","","","","","","","","","","","","","",""
"Gender, Women & Cultural Rep","101","001","120","3.391","22.5","45.0","25.0","4.2","1.7",".","0.8","0.8",".",".",".",".",".",".",".","."
"Gender, Women & Society-Global","102","001","112","3.477","31.3","42.9","17.9","3.6","3.6",".",".","0.9",".",".",".",".",".",".",".","."
"Womens Bodies-Hlth&Disease","103","001","243","3.624","52.7","30.9","9.9","2.5","2.1","0.8","0.4","0.8",".",".",".",".",".",".",".","."
"Intro Les, Gay, Bi, Trnsgen St","200","001","121","3.267","19.8","38.0","24.0","8.3","3.3","1.7","0.8","3.3",".",".",".",".",".","0.8",".","."
"Women in Russn Lit in Trans","205","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Gender & Work-Rural America","215","001","36","3.029","27.8","8.3","30.6","2.8","22.2","2.8",".",".",".",".",".",".","5.6",".",".","."
"Intro-Black Women Writers","222","001","29","3.712","69.0","13.8",".","3.4",".",".","3.4","6.9",".",".",".",".","3.4",".",".","."
"Women in Ethnic Amer Lit","248","001","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","125","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","310","001","26","3.481","46.2","38.5","3.8","3.8","3.8",".","3.8",".",".",".",".",".",".",".",".","."
"","310","017","13","3.773","61.5","7.7","15.4",".",".",".",".",".",".",".",".",".","7.7","7.7",".","."
"","310","035","23","3.870","91.3",".","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Gender, Women & the","","Course Total","62","3.683","66.1","17.7","6.5","1.6","3.2",".","1.6",".",".",".",".",".","1.6","1.6",".","."
"Global Feminisms","325","001","35","3.283","28.6","20.0","25.7",".","8.6","2.9",".","2.9",".",".",".",".","11.4",".",".","."
"Race&Gendr-Post-WW II  US Soc","326","001","31","3.483","38.7","25.8","25.8","3.2","3.2",".",".",".",".",".",".",".",".","3.2",".","."
"Gend/Class/Race/Ethn-SocSci","331","001","25","3.480","32.0","44.0","12.0","12.0",".",".",".",".",".",".",".",".",".",".",".","."
"Gendr&Sexualty-Classcl Wrld","351","001","13","3.192","30.8","38.5","7.7","15.4",".",".","7.7",".",".",".",".",".",".",".",".","."
"Gender,Performance,&Sexuality","414","001","32","3.776","53.1","34.4","3.1",".",".",".",".","3.1",".",".",".",".","6.3",".",".","."
"Contemp Feminist Theories","441","001","29","3.444","34.5","41.4","10.3",".","3.4",".","3.4","3.4",".",".",".",".",".","3.4",".","."
"Anthropology by Women","443","001","14","3.179","7.1","28.6","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Sexuality,Modernity&Soc Change","519","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"History of the (American) Body","532","001","17","3.188","5.9","29.4","52.9","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"Spec Topics-Women & Health","533","001","48","3.729","54.2","37.5","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender and Education","560","001","17","3.706","58.8","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","574","001","6","3.167","66.7",".","16.7",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","574","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fem Thry&Women Writng-","","Course Total","11","3.273","36.4","36.4","18.2",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Gender, Race&Civil Rgts Mvmnt","625","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone Smr in Gender & Wm St","640","001","23","3.783","56.5","43.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Smr in LGBT St (Capstone)","642","001","20","3.800","70.0","25.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Internatnl Developmnt & Gender","644","001","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Race & Sexuality in Amer Lit","654","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship-Gender&Women's Std","660","001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis II","682","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","121","3","***","","","","","","","","","",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","Page 322 of 409",""
