"L&S","","","","","","","","","","","","","","","","","","",""
"SPANISH (SPANISH AND PORTU Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"SPANISH
Dept. Total
912","2807","3.472","47.1","20.6","20.3","3.5","4.1","0.7","0.6","2.4","0.1",".","",".","0.2","0.2","0.1","0.0","0.1"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"Freshmen","261","3.264","31.4","23.8","30.3","3.4","8.0","1.5","1.1","0.4",".",".","",".",".",".",".",".","."
"Sophomore","864","3.421","40.4","24.5","26.0","3.6","4.4","0.6","0.3","0.1",".",".","",".",".",".",".",".","."
"Junior","714","3.518","53.9","17.1","19.2","4.2","3.4","0.7","0.7","0.6",".",".","",".",".","0.1",".",".","0.1"
"Senior","790","3.541","53.9","20.1","15.9","3.0","3.7","0.6","0.9","1.0",".",".","",".",".","0.1","0.1","0.1","0.4"
"Undergraduates","2629","3.461","47.2","21.1","21.6","3.6","4.3","0.7","0.7","0.5",".",".","",".",".","0.1","0.0","0.0","0.2"
"Special","26","3.541","50.0","15.4","3.8","7.7","7.7",".",".","11.5",".",".","",".",".",".","3.8",".","."
"Graduate","149","3.800","43.6","12.1","2.0","0.7",".","0.7",".","33.6","1.3",".","",".","4.0","2.0",".",".","."
"Prof Yr 1","1","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"Prof Yr 2","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 3","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","3","3.786","33.3","33.3",".",".",".",".",".","33.3",".",".","",".",".",".",".",".","."
"Dept. Total","2807","3.472","47.1","20.6","20.3","3.5","4.1","0.7","0.6","2.4","0.1",".","",".","0.2","0.2","0.1","0.0","0.1"
