"EDU","","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Digital Media and Literacy","209
001","","21","3.857","81.0","9.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Videogames & Learning","277
001","","80","3.786","68.8","21.3","5.0",".",".",".","1.3","1.3",".",".",".",".","2.5",".",".","."
"Practicum-Secondary Sci Ed","290
001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Practm-Secondry Sch English","296
001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","305
001","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","305
002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Rdg & Other Lang Arts","Course Total","","22","4.000","95.5",".",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"","309
001","","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
309","","26","3.846","96.2",".",".",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"Read&Write Across Content Area","Course Total","","51","3.902","94.1","3.9",".",".",".",".","2.0",".",".",".",".",".",".",".",".","."
"","313
001","","28","3.839","85.7","7.1",".","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"","313
002","","30","3.983","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang & Lit-Secondary Curric","Course Total","","58","3.914","91.4","5.2",".","1.7","1.7",".",".",".",".",".",".",".",".",".",".","."
"Becoming Lit. in/out Schools","314
001","","24","3.792","66.7","29.2",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
003","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Visual Learning Design","Course Total","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Educ Young English Learners","001
325","","24","3.646","33.3","62.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Gen Music-Secndry Schl","334
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Tchg Instrumental Music-Sec","336
001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Teaching Music","Course Total","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","354
001","","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","354
002","","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Music","Course Total","","44","3.943","90.9","6.8","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract: Soc Studies-Sec Schl","358
001","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Tchg of Hist & Other Soc St","359
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Math-Sec Schl","361
001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","362
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
003","","7","3.714","85.7",".",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","362
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Drama in Education","Course Total","","31","3.935","96.8",".",".",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"","364
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","364
002","","26","3.808","88.5","7.7",".",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"Introduction to Education","Course Total","","51","3.902","94.1","3.9",".",".",".",".","2.0",".",".",".",".",".",".",".",".","."
"Tching Math in Inclusive Set","365
001","","22","3.682","63.6","18.2","13.6",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","367
001","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
002","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum II","Course Total","","48","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"The Teaching of Reading","368
001","","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","","Page 82 of 409"
