"EGR","","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"M E
612","Dept. Total","2851","3.241","30.8","20.9","21.3","10.4","7.2","1.4","0.7","3.8","0.2",".","",".","3.0","0.2","0.0","0.0","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","29","3.104","24.1","13.8","37.9","10.3","10.3","3.4",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","184","3.122","29.3","21.7","17.4","17.4","10.9","0.5","2.2",".",".",".","",".",".","0.5",".",".","."
"Junior","","641","3.066","20.4","22.8","28.9","15.3","9.5","2.0","0.9",".",".",".","",".",".",".",".",".","0.2"
"Senior","","1377","3.201","29.6","23.4","24.3","11.3","8.4","1.7","0.8","0.3",".",".","",".","0.1","0.1",".",".","."
"Undergraduates","","2231","3.158","26.9","22.9","25.2","12.9","9.0","1.7","0.9","0.2",".",".","",".","0.0","0.1",".",".","0.0"
"Special","","38","3.406","44.7","21.1","15.8","7.9","10.5",".",".",".",".",".","",".",".",".",".",".","."
"Graduate","","582","3.735","45.0","13.1","6.7","1.0","0.2","0.2",".","17.7","0.9",".","",".","14.4","0.5","0.2","0.2","."
"","Dept. Total","2851","3.241","30.8","20.9","21.3","10.4","7.2","1.4","0.7","3.8","0.2",".","",".","3.0","0.2","0.0","0.0","0.0"
