"Phmceut Care Specialty Clrkshp","","","","","","","","","","","","","","","","","","","","","","",""
"Vet Pharmacy Clerkship","764
005","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Conf:Rsch Workers Hosp Phm","962
001","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Advanced Independent Study","999
028","8","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"PHM PRAC
728","Dept. Total","1417","3.630","57.6","20.5","11.9","4.2","2.0","0.1","0.6","2.3","",".","0.6","",".","",".","",".",".","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","2.333",".",".","33.3",".","66.7",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","3","2.833",".",".","66.7","33.3",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","20","2.976","35.0","10.0","20.0","10.0","15.0","5.0","5.0",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","26","2.887","26.9","7.7","26.9","11.5","19.2","3.8","3.8",".","",".",".","",".","",".","",".",".",".","."
"Special","","8","3.875","37.5","12.5",".",".",".",".",".","12.5","",".",".","",".","",".","",".",".","37.5","."
"Graduate","","20","3.946","90.0","5.0","5.0",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","140","3.915","83.6","12.9","1.4",".",".",".",".",".","",".","2.1","",".","",".","",".",".",".","."
"Prof Yr 2","","476","3.433","43.1","29.6","16.6","5.9","2.3",".","0.2","2.3","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","500","3.465","55.8","17.6","12.6","5.4","2.0",".","1.0","4.2","",".","1.0","",".","",".","",".",".","0.4","."
"Prof Yr 4","","247","3.829","75.7","15.8","6.5","0.8","0.8",".","0.4",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","1363","3.637","57.8","21.0","11.7","4.2","1.7",".","0.5","2.3","",".","0.6","",".","",".","",".",".","0.1","."
"","Dept. Total","1417","3.630","57.6","20.5","11.9","4.2","2.0","0.1","0.6","2.3","",".","0.6","",".","",".","",".",".","0.4","."
