"GERMAN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","",""
"","101
001","17","3.235","52.9","5.9","11.8","17.6","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","101
002","22","3.795","81.8","4.5","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","101
004","22","3.886","86.4","4.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
101","17","3.118","35.3","29.4","11.8","5.9","5.9","5.9","5.9",".",".",".",".",".",".",".",".","."
"First Semester German","Course Total","78","3.551","66.7","10.3","10.3","5.1","3.8","1.3","2.6",".",".",".",".",".",".",".",".","."
"","102
001","20","3.450","60.0","20.0",".","10.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"","102
002","21","3.810","71.4","19.0","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","18","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","22","3.568","59.1","22.7","4.5",".","13.6",".",".",".",".",".",".",".",".",".",".","."
"","102
006","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","103","3.728","72.8","15.5","4.9","1.9","2.9","1.9",".",".",".",".",".",".",".",".",".","."
"Second Semester Dutch","112
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","203
001","20","3.150","30.0","20.0","30.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","003
203","21","3.143","33.3","9.5","33.3","9.5","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","41","3.146","31.7","14.6","31.7","9.8","7.3","2.4","2.4",".",".",".",".",".",".",".",".","."
"","204
003","21","3.476","47.6","9.5","38.1",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","004
204","23","3.935","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
204","22","3.682","68.2","9.1","18.2",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","66","3.705","69.7","7.6","19.7",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Dutch","214
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Dutch Life & Culture","245
001","26","3.840","76.9","11.5","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".","3.8"
"","249
002","17","3.706","64.7","23.5","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","249
003","18","3.500","77.8",".","11.1",".",".","5.6","5.6",".",".",".",".",".",".",".",".","."
"","249
004","19","3.316","36.8","21.1","21.1","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"Intermed German-Speak & Listen","Course Total","54","3.500","59.3","14.8","13.0","3.7","5.6","1.9","1.9",".",".",".",".",".",".",".",".","."
"","258
001","18","3.417","44.4","33.3","5.6","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","258
002","16","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","258
003","15","3.700","60.0","26.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate German-Reading","Course Total","49","3.551","51.0","28.6","8.2","8.2","2.0","2.0",".",".",".",".",".",".",".",".",".","."
"","001
262","15","3.867","93.3",".",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","262
002","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate German-Writing","Course Total","31","3.871","83.9","12.9",".",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"German Immigration Experience","001
271","57","3.443","26.3","42.1","14.0","8.8","1.8",".",".","7.0",".",".",".",".",".",".",".","."
"Nazi Culture","272
001","71","2.957","21.1","8.5","45.1","2.8","16.9","1.4","2.8","1.4",".",".",".",".",".",".",".","."
"","299
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Lit des 20. & 21. Jahrhunderts","305
001","12","3.125","25.0","8.3","41.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"2nd Sem Dutch-Grad Stdts","312
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Sem Dutch-Grad Stdts","314
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Dutch Literature","325
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Compositn & Conversatn","337
001","20","3.250","40.0","15.0","20.0","5.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"Topics-German Linguistics","352
001","18","3.029","22.2","22.2","11.1","16.7","22.2",".",".","5.6",".",".",".",".",".",".",".","."
