"","999
075","3","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
079","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
080","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Reading and Research","Course Total","15","4.000","60.0",".",".",".",".",".",".",".",".",".","",".","13.3","13.3",".","13.3","."
"ANTHRO
156","Dept. Total","1889","3.183","29.4","19.6","25.1","10.1","10.2","1.4","1.1","2.0","0.1","0.1","",".","0.6","0.1",".","0.2","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","307","2.854","13.4","17.6","30.6","16.9","16.9","2.6","2.0",".",".",".","",".",".",".",".",".","."
"Sophomore","","618","3.219","28.3","22.0","28.6","9.5","10.4","0.3","0.6",".",".",".","",".",".",".",".",".","0.2"
"Junior","","448","3.257","33.3","21.4","24.1","10.5","8.7","0.4","1.1","0.2",".","0.2","",".",".",".",".",".","."
"Senior","","400","3.188","34.0","20.0","23.0","8.3","9.0","3.3","1.5","0.5","0.3","0.3","",".",".",".",".",".","."
"Undergraduates","","1773","3.159","28.3","20.6","26.6","10.8","10.8","1.4","1.2","0.2","0.1","0.1","",".",".",".",".",".","0.1"
"Special","","19","3.321","26.3",".","15.8",".",".","5.3",".","47.4",".",".","",".",".",".",".","5.3","."
"Graduate","","97","3.912","51.5","5.2",".",".","1.0",".",".","25.8","1.0",".","",".","11.3","2.1",".","2.1","."
"","Dept. Total","1889","3.183","29.4","19.6","25.1","10.1","10.2","1.4","1.1","2.0","0.1","0.1","",".","0.6","0.1",".","0.2","0.1"
