"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","",""
"Russian Social&Intel Hist","420
002","33","3.378","15.2","24.2","18.2","6.1",".",".",".","33.3",".",".",".",".","3.0",".",".","."
"Latino History and Politics","422
001","8","2.143",".","25.0","12.5","25.0",".",".","25.0","12.5",".",".",".",".",".",".",".","."
"Soviet Union & World,1917-1991","424
001","77","3.405","26.0","32.5","24.7","7.8","1.3",".",".","5.2",".",".",".",".","2.6",".",".","."
"US Military History Since 1899","428
001","62","2.882","9.7","33.9","25.8","9.7","4.8","4.8","6.5","1.6",".",".",".",".",".",".","3.2","."
"Islamic Hist:Orig-Ottoman Empr","439
001","37","3.508","32.4","29.7","21.6",".","2.7",".",".","13.5",".",".",".",".",".",".",".","."
"Japan, US-Crisis in Asia","456
002","37","3.121","16.2","32.4","24.3","5.4","5.4","2.7","2.7","10.8",".",".",".",".",".",".",".","."
"Hist SE Asia Since 1800","458
001","27","3.136","37.0","18.5","14.8","3.7","3.7","3.7","7.4","11.1",".",".",".",".",".",".",".","."
"Rule of Law:Philos&Hist Models","459
001","18","3.206","5.6","72.2",".","11.1",".",".","5.6","5.6",".",".",".",".",".",".",".","."
"American West Since 1850","462
001","115","3.463","37.4","28.7","23.5","4.3","0.9","1.7",".","3.5",".",".",".",".",".",".",".","."
"Compar Hist-Chldhood&Adoles","478
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"American Indian History","001
490","26","3.646","42.3","38.5","15.4",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"","500
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","500
002","7","4.000","71.4",".",".",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"","500
003","10","3.944","80.0","10.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Reading Seminar in History","Course Total","18","3.967","77.8","5.6",".",".",".",".",".","5.6",".",".",".",".","11.1",".",".","."
"Law and Colonialism","001
502","7","3.357","42.9","28.6",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Irish and Scottish Migrations","503
001","33","3.679","42.4","30.3","12.1",".",".",".",".","6.1",".",".",".",".","6.1",".","3.0","."
"Health, Disease & Healing I","507
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Legal Pluralism","510
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Eur Cult Hist Since 1870","514
001","37","3.259","18.9","29.7","8.1","8.1","5.4","2.7",".","24.3",".",".",".",".","2.7",".",".","."
"Sexuality,Modernity&Soc Change","519
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist of Mass Communication","560
001","13","3.000","30.8","7.7","23.1","23.1",".",".","7.7",".",".",".",".",".","7.7",".",".","."
"Byzantine Med & Pharmacy","562
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","600
001","10","3.600","60.0","20.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","600
002","11","3.364","45.5","36.4","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","600
003","13","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
004","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
005","15","3.633","40.0","46.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
006","8","3.357","25.0","25.0","25.0","12.5",".",".",".",".",".",".",".",".","12.5",".",".","."
"","007
600","6","3.167","33.3","33.3","16.7",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"","600
008","13","3.625","38.5","38.5","15.4",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","600
009","15","3.100","26.7","26.7","26.7","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"","600
010","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","014
600","7","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","600
015","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","600
016","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Seminar in History","Course Total","142","3.596","54.9","25.4","12.0","2.1","2.1","0.7","1.4",".",".",".",".",".","1.4",".",".","."
"Hist of Fed Role in Amer Educ","665
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","680
001","9","4.000","77.8",".",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"","680
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Thesis Colloquium","Course Total","18","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","681
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","Page 227 of 409",""
