"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"Human Dev: Ed Effectiveness","Course Total","252","3.927","92.1","4.0","2.4","1.2",".","0.4",".",".",".",".",".",".",".",".",".","."
"","125
001","20","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"A Wisconsin Experience Seminar","Course Total","32","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
002","19","3.833","73.7","10.5","10.5",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","325
003","19","3.789","73.7","15.8","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Stdts Seekng Educ Equ&Div","Course Total","38","3.811","73.7","13.2","7.9","2.6",".",".",".",".",".",".",".",".","2.6",".",".","."
"Spec Topics-Cnslg & Guidnce","620
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory & Prac-Interviewing","650
001","136","3.820","76.5","14.7","5.9","2.2","0.7",".",".",".",".",".",".",".",".",".",".","."
"","699
028","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
034","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal&Ethical Bases - Coun&Psy","735
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psych of Individual Difference","736
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Counslng-Community Settings","791
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry&Prac:Grp Work-Cnslrs","802
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Suprvsd Pract-Counseling I","806
001","14","3.821","78.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","808
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Suprvsd Prac-Coun III: Adv","Course Total","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry&Prac-Career Interventn","865
001","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Assess Tech-Couns Psych","890
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cnsl Psy Practicum-Foundation","900
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum: Supervision","902
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Cnsl Psy Practicum-Advanced","903
001","7","",".",".",".",".",".",".",".",".",".","85.7",".",".",".",".",".","."
"Counseling Psych Externship","904
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch Pract in Counseling Psych","905
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch Methods in Cnsl Psych II","960
001","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
005","8","",".",".",".",".",".",".",".","37.5",".",".",".","62.5",".",".",".","."
"","990
028","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
029","7","",".",".",".",".",".",".",".","14.3",".",".",".","85.7",".",".",".","."
"","990
030","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","23","",".",".",".",".",".",".",".","34.8",".",".",".","52.2","13.0",".",".","."
"Independent Reading","999
034","3","***","","","","","","","","","",".",".",".",".",".",".","."
