"PHYSICAL EDUC ACTIVITY PRO Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","",""
"100
001
Exercise,Nutrition,&Health","203","2.615","11.8","15.3","20.2","15.3","26.1","5.9","3.9","1.0","0.5",".",".",".",".",".",".","."
"125
001","17","",".",".",".",".",".",".",".","88.2",".",".",".",".",".",".","11.8","."
"125
002","18","4.000","5.6",".",".",".",".",".",".","94.4",".",".",".",".",".",".",".","."
"003
125","16","4.000","6.3",".",".",".",".",".",".","87.5",".",".",".",".",".",".","6.3","."
"125
004","16","4.000","12.5",".",".",".",".",".",".","56.3",".",".",".",".",".",".","31.3","."
"Course Total
Adapted Fitness&Pers Traing","67","4.000","6.0",".",".",".",".",".",".","82.1",".",".",".",".",".",".","11.9","."
"129
001","20","3.263","10.0","35.0","45.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"002
129","21","3.500","14.3","42.9","14.3",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"Course Total
Intro to Yoga Practice","41","3.368","12.2","39.0","29.3","2.4",".",".",".","17.1",".",".",".",".",".",".",".","."
"134
003
Relaxation Tech & Exercise","20","3.694","45.0","35.0","10.0",".",".",".",".","5.0",".",".",".",".",".","5.0",".","."
"003
138
Golf I","18","3.889","38.9","11.1",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"211
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"211
002","18","3.778","94.4",".",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Course Total
Intro to Martial Arts","40","3.900","97.5",".",".",".",".",".","2.5",".",".",".",".",".",".",".",".","."
"230
001
Topics-Adv Fitness Training","13","2.955","7.7","15.4","46.2","7.7",".","7.7",".","7.7",".",".",".",".",".","7.7",".","."
"300
001","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"300
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Workshop-Physical Activity","30","3.967","96.7",".","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"PE ACTIV
Dept. Total
740","432","2.959","27.3","13.4","14.4","7.6","12.3","3.0","2.1","17.4","0.2",".",".",".",".","0.5","1.9","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","",""
"Freshmen","55","2.558","14.5","9.1","18.2","16.4","32.7","3.6","3.6","1.8",".",".",".",".",".",".",".","."
"Sophomore","92","2.988","29.3","17.4","21.7","12.0","10.9","4.3","3.3","1.1",".",".",".",".",".",".",".","."
"Junior","58","2.906","24.1","25.9","13.8","8.6","17.2","5.2","1.7","1.7",".",".",".",".",".","1.7",".","."
"Senior","148","3.128","41.2","13.5","15.5","5.4","9.5","2.7","2.0","8.8","0.7",".",".",".",".","0.7",".","."
"Undergraduates","353","2.945","31.2","15.9","17.3","9.3","14.7","3.7","2.5","4.5","0.3",".",".",".",".","0.6",".","."
"Special","66","2.750",".","1.5",".",".","1.5",".",".","84.8",".",".",".",".",".",".","12.1","."
"Graduate","11","3.813","54.5","9.1","9.1",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"Prof Yr 3","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dept. Total","432","2.959","27.3","13.4","14.4","7.6","12.3","3.0","2.1","17.4","0.2",".",".",".",".","0.5","1.9","."
