"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"N E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","4","",".",".",".",".",".","",".",".",".","",".","100.0",".",".",".",".",".","."
"Sophomore","8","",".",".",".",".",".","",".",".",".","",".","87.5","12.5",".",".",".",".","."
"Junior","19","2.630","21.1","5.3","10.5",".","5.3","",".","10.5",".","",".","47.4",".",".",".",".",".","."
"Senior","160","3.357","30.0","22.5","31.3","5.0","5.6","",".","0.6","0.6","",".","3.8",".",".","0.6",".",".","."
"Undergraduates","191","3.317","27.2","19.4","27.2","4.2","5.2","",".","1.6","0.5","",".","13.6","0.5",".","0.5",".",".","."
"Special","2","4.000","50.0",".",".",".",".","",".",".",".","",".","50.0",".",".",".",".",".","."
"Graduate","180","3.525","24.4","13.3","14.4","1.7","0.6","",".",".","27.2","",".",".",".","15.6","2.8",".",".","."
"Prof Yr 3","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".",".",".",".",".",".","."
"Professionals","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".",".",".",".",".",".","."
