"CIVIL AND ENVIRONMENTAL EN Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","",""
"609
Spec Topics-Water Chemistry","001","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"612
Ecohydrology","001","","15","3.633","33.3","60.0","6.7",".",".",".",".",".   
.",".",".",".",".",".",".","."
"618
Topic-Hydraulics&Fluid Mech","002","","7","3.857","71.4","28.6",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"629
Special Topics-Envir Engr","001","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"639
Topics-Geotechnical Engr","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"649","002","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"649","004","","5","***","","","","","","","","",".",".",".",".",".",".","."
"649","005","","5","***","","","","","","","","",".",".",".",".",".",".","."
"Specl Topic-Structural Engr","Course Total","","16","3.792","68.8","31.3",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"678
Adv Traffic Model & Simulation","001","","9","3.889","77.8","22.2",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","053","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","061","","9","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","062","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","069","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","074","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","23","3.993","91.3","4.3",".",".",".",".",".","4.3
.",".",".",".",".",".",".","."
"704
Env Chemical Kinetics","001","","12","3.875","75.0","25.0",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"730
Engr Properties of Soils","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"749
Spec Topics-Structural Engr","002","","4","***","","","","","","","","",".",".",".",".",".",".","."
"790","006","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","010","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","019","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","021","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","058","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","059","","3","***","","","","","","","","",".",".",".",".",".",".","."
"790","063","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","064","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","072","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","074","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","076","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","15","",".",".",".",".",".",".",".","86.7
.",".",".","6.7","6.7",".",".","."
"823
Environmental Eng Design Proj","003","","13","3.962","92.3","7.7",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"890","002","","3","***","","","","","","","","",".",".",".",".",".",".","."
"890","005","","2","***","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 121 of 447",""
