"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101","001","146","3.625","40.4","37.0","9.6","2.1","1.4",".",".","8.2","0.7",".",".",".","0.7",".",".","."
"Amer Hist-Civil War-Present","102","001","72","3.234","20.8","26.4","6.9","4.2","1.4","1.4","4.2","5.6","12.5",".",".",".","1.4","15.3",".","."
"Hist:The Univ in the West","107","001","11","3.887","72.7","18.2",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Europe & the World, 1400-1815","119","001","88","3.039","8.0","13.6","22.7","9.1","2.3","1.1","1.1","42.0",".",".",".",".",".",".",".","."
"Europe&Mod World 1815-On","120","001","31","3.550","25.8","22.6","12.9","3.2",".",".",".","22.6",".",".",".",".","9.7",".",".","3.2"
"Intro to World History","130","001","128","3.814","63.3","29.7",".","0.8","0.8",".",".","3.1",".",".",".",".",".",".","2.3","."
"Women in World History","134","001","14","3.833","42.9","21.4",".",".",".",".",".","35.7",".",".",".",".",".",".",".","."
"Sport, Rec., & Society in U.S.","136","001","71","4.000","97.2",".",".",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"","200","001","15","3.350","20.0","13.3","26.7","6.7",".",".",".","33.3",".",".",".",".",".",".",".","."
"","200","002","40","3.400","17.5","15.0","12.5",".","5.0",".",".","12.5",".",".",".",".",".",".","37.5","."
"","200","003","45","3.875","28.9","4.4","2.2",".",".",".",".","2.2","2.2",".",".",".",".",".","60.0","."
"Historical Studies","","Course Total","100","3.535","23.0","10.0","10.0","1.0","2.0",".",".","11.0","1.0",".",".",".",".",".","42.0","."
"","201","001","12","3.278","41.7","8.3","16.7",".",".",".","8.3","16.7","8.3",".",".",".",".",".",".","."
"","201","002","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","003","45","3.822","71.1","22.2","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","004","28","3.800","64.3","14.3","10.7",".",".",".",".","7.1",".",".",".",".","3.6",".",".","."
"","201","005","38","3.547","23.7","47.4","10.5","2.6",".",".",".","7.9","2.6",".",".",".","5.3",".",".","."
"","201","008","14","3.917","71.4","14.3",".",".",".",".",".","7.1",".",".",".",".",".","7.1",".","."
"","201","009","25","3.237","16.0","32.0","20.0","4.0",".",".","4.0","8.0","8.0",".",".",".","4.0","4.0",".","."
"","201","011","34","3.722","61.8","14.7","2.9","2.9",".","2.9",".","5.9","5.9",".",".",".",".","2.9",".","."
"The Historian's Craft","","Course Total","209","3.678","52.6","23.9","8.6","1.4",".","0.5","1.0","5.7","2.9",".",".",".","1.9","1.4",".","."
"Explorations in Amer Hist (H)","221","001","45","3.767","66.7","15.6","11.1","2.2",".",".",".","2.2",".",".",".",".",".",".","2.2","."
"","223","001","28","3.560","35.7","28.6","25.0",".",".",".",".",".","7.1",".",".",".",".","3.6",".","."
"","223","002","45","3.697","48.9","22.2","11.1","2.2",".",".",".","15.6",".",".",".",".",".",".",".","."
"Exploration-European Hist (H)","","Course Total","73","3.643","43.8","24.7","16.4","1.4",".",".",".","9.6","2.7",".",".",".",".","1.4",".","."
"SE Asian Refugees of Cold War","246","001","71","3.914","78.9",".","1.4",".",".",".","1.4","14.1","4.2",".",".",".",".",".",".","."
"Eastern Europe:Interdis Survey","254","001","19","3.750","63.2","26.3",".",".","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255","001","10","3.250","10.0","40.0","20.0",".","10.0",".",".","20.0",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","32","3.696","46.9","9.4","12.5","3.1",".",".",".","28.1",".",".",".",".",".",".",".","."
"American Legal History to Pres","262","001","18","3.200",".","50.0","22.2","5.6","5.6",".",".","16.7",".",".",".",".",".",".",".","."
"Hist Stdy Abrd: European Hist","271","00A","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Chinese Migrations since 1500","276","001","25","3.605","32.0","32.0","8.0","4.0",".",".",".","4.0","8.0",".",".",".",".",".","12.0","."
"Africa: Introductory Survey","277","001","34","3.482","38.2","23.5","14.7","2.9",".",".","2.9","14.7","2.9",".",".",".",".",".",".","."
"History at Work","300","001","14","3.467","64.3",".",".",".",".",".","7.1","14.3","14.3",".",".",".",".",".",".","."
"A History of Rome","307","001","59","3.500","32.2","32.2","11.9","1.7","1.7",".","1.7","8.5","1.7",".",".",".","8.5",".",".","."
"Crusades: Christianity & Islam","309","001","74","3.768","37.8","13.5","1.4","1.4","1.4",".",".",".","1.4",".",".",".",".","1.4","41.9","."
"Afro-Am Hist Since 1900","321","001","8","3.667","25.0","50.0",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Sci Revol:Copernicus-Newton","323","001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"East Asia & The US Since 1899","332","001","29","3.676","27.6","24.1","6.9",".",".",".",".","41.4",".",".",".",".",".",".",".","."
"Chinese Economic History","336","001","46","3.667","58.7","10.9","4.3","6.5","4.3",".",".","13.0",".",".",".",".","2.2",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","","Page 251 of 447",""
