"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","","B","","BC","C","","D","","F","","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","","","","","",""
"990","063","","2","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","101","","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","47","",".","",".","",".",".","",".","",".","",".","76.6
.",".",".","23.4",".",".",".","."
"999","012","","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"999","037","","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"999","039","","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"999","046","","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"999","066","","4","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","9","4.000","100.0","",".","",".",".","",".","",".","",".",".  
.",".",".",".",".",".",".","."
