"COMPUTER SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"699","152","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","33","3.983","90.9","3.0",".",".",".",".",".",".  
.",".",".",".","3.0",".","3.0","."
"701
Construction of Compilers","001","","12","4.000","83.3",".",".",".",".",".",".","16.7
.",".",".",".",".",".",".","."
"710
Computational Complexity","001","","11","3.955","90.9","9.1",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"715
Methods of Computatnl Math II","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"719
Stochastic Programming","001","","10","3.250","20.0",".","30.0","10.0",".",".",".","40.0
.",".",".",".",".",".",".","."
"723
Dynamic Prog & Assoc Topics","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"726
Nonlinear Optimization I","001","","22","3.438","13.6","50.0",".","4.5","4.5",".",".","22.7
4.5",".",".",".",".",".",".","."
"728
Integer Optimization","001","","11","3.938","63.6","9.1",".",".",".",".",".","18.2
.",".",".",".",".",".","9.1","."
"730
Nonlinear Optimization II","001","","13","3.708","53.8","23.1","15.4",".",".",".",".","7.7
.",".",".",".",".",".",".","."
"739
Distributed Systems","001","","32","3.790","56.3","40.6",".",".",".",".",".","3.1
.",".",".",".",".",".",".","."
"740
Advanced Computer Networks","001","","27","3.963","92.6","7.4",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"752
Adv Computer Architecture I","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"757
Adv Computr Architecture II","001","","11","3.833","63.6","9.1","9.1",".",".",".",".","18.2
.",".",".",".",".",".",".","."
"759
HPC for Apps in Engr","001","","29","3.982","93.1","3.4",".",".",".",".",".","3.4
.",".",".",".",".",".",".","."
"760
Machine Learning","001","","89","3.866","67.4","24.7",".",".",".",".",".","6.7
1.1",".",".",".",".",".",".","."
"761","001","","42","3.848","57.1","19.0","2.4",".",".",".",".","16.7
.",".",".",".",".",".","4.8","."
"761","002","","24","3.432","33.3","16.7","37.5","4.2",".",".",".","4.2
4.2",".",".",".",".",".",".","."
"Mathematical Machine Learning","Course Total","","66","3.682","48.5","18.2","15.2","1.5",".",".",".","12.1
1.5",".",".",".",".",".","3.0","."
"764
Topics-Database Mgt Systems","001","","11","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"766
Computer Vision","001","","64","3.766","75.0","10.9","1.6","6.3","3.1",".",".","3.1
.",".",".",".",".",".",".","."
"770
Human-Computer Interaction","001","","46","3.924","87.0","10.9","2.2",".",".",".",".",".   
.",".",".",".",".",".",".","."
"776
Advanced Bioinformatics","001","","6","3.833","83.3",".","16.7",".",".",".",".",".   
.",".",".",".",".",".",".","."
"790","019","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","101","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","124","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","138","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","142","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","148","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Master's Thesis","Course Total","","7","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"799","002","","4","***","","","","","","","","",".",".",".",".",".",".","."
"799","003","","6","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"799","005","","4","***","","","","","","","","",".",".",".",".",".",".","."
"799","006","","2","***","","","","","","","","",".",".",".",".",".",".","."
"799","007","","2","***","","","","","","","","",".",".",".",".",".",".","."
"799","012","","5","***","","","","","","","","",".",".",".",".",".",".","."
"799","018","","1","***","","","","","","","","",".",".",".",".",".",".","."
"799","019","","4","***","","","","","","","","",".",".",".",".",".",".","."
"799","020","","3","***","","","","","","","","",".",".",".",".",".",".","."
"799","021","","12","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
