"EGR","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTERDIS COURSES  (ENGR)","Section","#","Ave","A","AB","B","BC","","C","","D","","F","","S/SD U/UD","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","","","","","","","",""
"","170
001","104","3.933","89.4","7.7","2.9",".","","",".","",".","",".",".   
.",".",".","",".","",".","",".",".","."
"","170
002","105","3.933","88.6","9.5","1.9",".","","",".","",".","",".",".   
.",".",".","",".","",".","",".",".","."
"Design Practicum","Course Total","209","3.933","89.0","8.6","2.4","",".","",".","",".","",".",".  
.",".","",".","",".","",".",".",".","."
"","601
001","25","3.833","64.0","32.0",".",".","","",".","",".","",".","4.0
.",".",".","",".","",".","",".",".","."
"","601
003","7","3.857","71.4","28.6",".",".","","",".","",".","",".",".   
.",".",".","",".","",".","",".",".","."
"Topics-Interdis Engineering","Course Total","32","3.835","65.6","31.3",".","",".","",".","",".","",".","3.1
.",".","",".","",".","",".",".",".","."
"INTEREGR
496","Dept. Total","241","3.922","85.9","11.6","2.1","",".","",".","",".","",".","0.4
.",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S/SD
U/UD","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","39","3.849","76.9","17.9","5.1","",".","",".","",".","",".",".  
.",".","",".","",".","",".",".",".","."
"Sophomore","","244","3.940","93.4","5.3","1.2","",".","",".","",".","",".",".  
.",".","",".","",".","",".",".",".","."
"Junior","","166","3.964","98.8","1.2",".","",".","",".","",".","",".",".  
.",".","",".","",".","",".",".",".","."
"Senior","","37","3.808","83.8","13.5",".","",".","",".","",".","",".","2.7
.",".","",".","",".","",".",".",".","."
"Undergraduates","","486","3.923","93.2","5.6","1.0","",".","",".","",".","",".","0.2
.",".","",".","",".","",".",".",".","."
"Graduate","","5","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","491","3.922","93.1","5.7","1.0","",".","",".","",".","",".","0.2
.",".","",".","",".","",".",".",".","."
