"BIOMOLECULAR CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"758
BMOLCHEM","","","","","","","","","","","","","","","","","","",""
"504
Human Biochemistry Lab","001","","35","3.957","97.1",".",".","2.9",".",".",".",".   
.",".",".",".",".",".",".","."
"675
Adv/Spec Topics:Biomol Chem","005","","4","***","","","","","","","","",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","002","","18","3.974","94.4","5.6",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","007","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","025","","4","***","","","","","","","","",".",".",".",".",".",".","."
"699","028","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Special Research Problems","Course Total","","38","3.973","94.7","5.3",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"720
Exp Design in Cell Biochem","001","","24","3.761","62.5","20.8","12.5",".",".",".",".","4.2
.",".",".",".",".",".",".","."
"913
Smr-RiboGroup (Advanced)","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"914
Smr-Molecular Biosci (Adv)","001","","7","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","009","","5","***","","","","","","","","",".",".",".",".",".",".","."
"990","018","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","023","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","025","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","033","","7","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"990","034","","6","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"990","036","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","040","","7","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"Adv Biomoleclr Chem & Rsrch","Course Total","","47","",".",".",".",".",".",".",".","87.2
.",".",".","12.8",".",".",".","."
